Symbol,Sector,Market Cap
AGROPHOS,Agrichem - Fertilizers,Small Cap
ARIES,Agrichem - Fertilizers,Small Cap
BOHRAIND,Agrichem - Fertilizers,Small Cap
CHAMBLFERT,Agrichem - Fertilizers,Small Cap
COROMANDEL,Agrichem - Fertilizers,Mid Cap
DEEPAKFERT,Agrichem - Fertilizers,Small Cap
EIDPARRY,Agrichem - Fertilizers,Small Cap
FACT,Agrichem - Fertilizers,Mid Cap
GNFC,Agrichem - Fertilizers,Small Cap
GSFC,Agrichem - Fertilizers,Small Cap
KHAICHEM,Agrichem - Fertilizers,Small Cap
KRISHANA,Agrichem - Fertilizers,Small Cap
MADRASFERT,Agrichem - Fertilizers,Small Cap
MANGCHEFER,Agrichem - Fertilizers,Small Cap
MBAPL,Agrichem - Fertilizers,Small Cap
NFL,Agrichem - Fertilizers,Small Cap
PARADEEP,Agrichem - Fertilizers,Small Cap
RAMAPHO,Agrichem - Fertilizers,Small Cap
RCF,Agrichem - Fertilizers,Small Cap
SPIC,Agrichem - Fertilizers,Small Cap
ZUARI,Agrichem - Fertilizers,Small Cap
ACE,Auto - CV,Small Cap
ASHOKLEY,Auto - CV,Mid Cap
ATULAUTO,Auto - CV,Small Cap
SANGHVIMOV,Auto - CV,Small Cap
SMLISUZU,Auto - CV,Small Cap
AARVEEDEN,Textile - Apparels,Small Cap
ARVINDFASN,Textile - Apparels,Small Cap
ARVIND,Textile - Apparels,Small Cap
BANG,Textile - Apparels,Small Cap
CANTABIL,Textile - Apparels,Small Cap
CREATIVE,Textile - Apparels,Small Cap
GOCOLORS,Textile - Apparels,Small Cap
GOKEX,Textile - Apparels,Small Cap
INDTERRAIN,Textile - Apparels,Small Cap
IRISDOREME,Textile - Apparels,Small Cap
KKCL,Textile - Apparels,Small Cap
KITEX,Textile - Apparels,Small Cap
KPRMILL,Textile - Apparels,Mid Cap
MONTECARLO,Textile - Apparels,Small Cap
JAIPURKURT,Textile - Apparels,Small Cap
PGIL,Textile - Apparels,Small Cap
RAYMOND,Textile - Apparels,Small Cap
SPAL,Textile - Apparels,Small Cap
THOMASCOTT,Textile - Apparels,Small Cap
MANYAVAR,Textile - Apparels,Mid Cap
ZODIACLOTH,Textile - Apparels,Small Cap
DIVGIITTS,Auto - Misc,Small Cap
ESCORTS,Auto - Misc,Mid Cap
IMPAL,Auto - Misc,Small Cap
JBMA,Auto - Misc,Small Cap
LANDMARK,Auto - Misc,Small Cap
PAVNAIND,Auto - Misc,Small Cap
RANEHOLDIN,Auto - Misc,Small Cap
URAVIDEF,Auto - Misc,Small Cap
VSTTILLERS,Auto - Misc,Small Cap
ALICON,Auto - OEM Suppliers,Small Cap
ASAHIINDIA,Auto - OEM Suppliers,Small Cap
AUTOIND,Auto - OEM Suppliers,Small Cap
CRAFTSMAN,Auto - OEM Suppliers,Small Cap
ENDURANCE,Auto - OEM Suppliers,Mid Cap
FIEMIND,Auto - OEM Suppliers,Small Cap
FOCUS,Auto - OEM Suppliers,Small Cap
GNA,Auto - OEM Suppliers,Small Cap
HINDCOMPOS,Auto - OEM Suppliers,Small Cap
IGARASHI,Auto - OEM Suppliers,Small Cap
INDNIPPON,Auto - OEM Suppliers,Small Cap
JMA,Auto - OEM Suppliers,Small Cap
LGBBROSLTD,Auto - OEM Suppliers,Small Cap
CIEINDIA,Auto - OEM Suppliers,Mid Cap
MINDACORP,Auto - OEM Suppliers,Small Cap
UNOMINDA,Auto - OEM Suppliers,Mid Cap
MSUMI,Auto - OEM Suppliers,Mid Cap
MUNJALAU,Auto - OEM Suppliers,Small Cap
NDRAUTO,Auto - OEM Suppliers,Small Cap
OMAXAUTO,Auto - OEM Suppliers,Small Cap
PPAP,Auto - OEM Suppliers,Small Cap
PRECAM,Auto - OEM Suppliers,Small Cap
PRICOLLTD,Auto - OEM Suppliers,Small Cap
RAJRATAN,Auto - OEM Suppliers,Small Cap
RML,Auto - OEM Suppliers,Small Cap
RICOAUTO,Auto - OEM Suppliers,Small Cap
ROLEXRINGS,Auto - OEM Suppliers,Small Cap
SANDHAR,Auto - OEM Suppliers,Small Cap
SANSERA,Auto - OEM Suppliers,Small Cap
SHANTIGEAR,Auto - OEM Suppliers,Small Cap
SHARDAMOTR,Auto - OEM Suppliers,Small Cap
SHIVAMAUTO,Auto - OEM Suppliers,Small Cap
SHRIPISTON,Auto - OEM Suppliers,Small Cap
SINTERCOM,Auto - OEM Suppliers,Small Cap
SJS,Auto - OEM Suppliers,Small Cap
SONACOMS,Auto - OEM Suppliers,Mid Cap
STERTOOLS,Auto - OEM Suppliers,Small Cap
SUNDRMFAST,Auto - OEM Suppliers,Mid Cap
SUPRAJIT,Auto - OEM Suppliers,Small Cap
TALBROAUTO,Auto - OEM Suppliers,Small Cap
VARROC,Auto - OEM Suppliers,Small Cap
ZFCVINDIA,Auto - OEM Suppliers,Mid Cap
WHEELS,Auto - OEM Suppliers,Small Cap
FORCEMOT,Auto - PV/Trucks,Small Cap
M&M,Auto - PV/Trucks,Large Cap
MARUTI,Auto - PV/Trucks,Large Cap
OLECTRA,Auto - PV/Trucks,Small Cap
TATAMOTORS,Auto - PV/Trucks,Large Cap
AUTOAXLES,Auto - Replacement,Small Cap
ASAL,Auto - Replacement,Small Cap
BANCOINDIA,Auto - Replacement,Small Cap
BHARATGEAR,Auto - Replacement,Small Cap
BOSCHLTD,Auto - Replacement,Large Cap
FMGOETZE,Auto - Replacement,Small Cap
GABRIEL,Auto - Replacement,Small Cap
HITECHGEAR,Auto - Replacement,Small Cap
JAMNAAUTO,Auto - Replacement,Small Cap
JAYBARMARU,Auto - Replacement,Small Cap
JTEKTINDIA,Auto - Replacement,Small Cap
LUMAXIND,Auto - Replacement,Small Cap
LUMAXTECH,Auto - Replacement,Small Cap
MOTHERSON,Auto - Replacement,Large Cap
MUNJALSHOW,Auto - Replacement,Small Cap
SSWL,Auto - Replacement,Small Cap
SUBROS,Auto - Replacement,Small Cap
SUNDRMBRAK,Auto - Replacement,Small Cap
TVSHLTD,Auto - Replacement,Small Cap
UCAL,Auto - Replacement,Small Cap
APOLLOTYRE,Auto - Tyres,Mid Cap
BALKRISIND,Auto - Tyres,Mid Cap
CEATLTD,Auto - Tyres,Small Cap
JKTYRE,Auto - Tyres,Small Cap
MRF,Auto - Tyres,Mid Cap
TVSSRICHAK,Auto - Tyres,Small Cap
ARE&M,Batteries,Small Cap
EVEREADY,Batteries,Small Cap
EXIDEIND,Batteries,Mid Cap
NIPPOBATRY,Batteries,Small Cap
ASALCBR,Beverages - Alcohol,Small Cap
GLOBUSSPR,Beverages - Alcohol,Small Cap
GMBREW,Beverages - Alcohol,Small Cap
IFBAGRO,Beverages - Alcohol,Small Cap
RADICO,Beverages - Alcohol,Mid Cap
RKDL,Beverages - Alcohol,Small Cap
SDBL,Beverages - Alcohol,Small Cap
SULA,Beverages - Alcohol,Small Cap
TI,Beverages - Alcohol,Small Cap
UBL,Beverages - Alcohol,Mid Cap
UNITDSPR,Beverages - Alcohol,Large Cap
ARVEE,Chemicals - Bulk,Small Cap
ACI,Chemicals - Bulk,Small Cap
ANDHRSUGAR,Chemicals - Bulk,Small Cap
CHEMFAB,Chemicals - Bulk,Small Cap
CHEMPLASTS,Chemicals - Bulk,Small Cap
CLEAN,Chemicals - Bulk,Mid Cap
DIAMINESQ,Chemicals - Bulk,Small Cap
GHCL,Chemicals - Bulk,Small Cap
GUJALKALI,Chemicals - Bulk,Small Cap
GULPOLY,Chemicals - Bulk,Small Cap
IGPL,Chemicals - Bulk,Small Cap
INDIAGLYCO,Chemicals - Bulk,Small Cap
INDOBORAX,Chemicals - Bulk,Small Cap
IVP,Chemicals - Bulk,Small Cap
JOCIL,Chemicals - Bulk,Small Cap
KANORICHEM,Chemicals - Bulk,Small Cap
LORDSCHLO,Chemicals - Bulk,Small Cap
MANORG,Chemicals - Bulk,Small Cap
NAVINFLUOR,Chemicals - Bulk,Mid Cap
PCBL,Chemicals - Bulk,Small Cap
SRHHYPOLTD,Chemicals - Bulk,Small Cap
TATACHEM,Chemicals - Bulk,Mid Cap
TIRUMALCHM,Chemicals - Bulk,Small Cap
AKSHARCHEM,Chemicals - Dyes,Small Cap
ASAHISONG,Chemicals - Dyes,Small Cap
BHAGERIA,Chemicals - Dyes,Small Cap
BODALCHEM,Chemicals - Dyes,Small Cap
HEUBACHIND,Chemicals - Dyes,Small Cap
DYNPRO,Chemicals - Dyes,Small Cap
HPIL,Chemicals - Dyes,Small Cap
KIRIINDUS,Chemicals - Dyes,Small Cap
PODDARMENT,Chemicals - Dyes,Small Cap
SHREEPUSHK,Chemicals - Dyes,Small Cap
SUDARSCHEM,Chemicals - Dyes,Small Cap
VIDHIING,Chemicals - Dyes,Small Cap
ASTEC,Agrichem - Protection,Small Cap
BAYERCROP,Agrichem - Protection,Mid Cap
BESTAGRO,Agrichem - Protection,Small Cap
BHAGCHEM,Agrichem - Protection,Small Cap
BHARATRAS,Agrichem - Protection,Small Cap
DHANUKA,Agrichem - Protection,Small Cap
DHARMAJ,Agrichem - Protection,Small Cap
HERANBA,Agrichem - Protection,Small Cap
IPL,Agrichem - Protection,Small Cap
INSECTICID,Agrichem - Protection,Small Cap
MOL,Agrichem - Protection,Small Cap
NACLIND,Agrichem - Protection,Small Cap
PIIND,Agrichem - Protection,Mid Cap
PUNJABCHEM,Agrichem - Protection,Small Cap
RALLIS,Agrichem - Protection,Small Cap
SHARDACROP,Agrichem - Protection,Small Cap
SHIVALIK,Agrichem - Protection,Small Cap
SIKKO,Agrichem - Protection,Small Cap
SUMICHEM,Agrichem - Protection,Mid Cap
UPL,Agrichem - Protection,Large Cap
DICIND,Chemicals - Misc,Small Cap
FLEXITUFF,Chemicals - Misc,Small Cap
LINDEINDIA,Chemicals - Misc,Mid Cap
PEARLPOLY,Chemicals - Misc,Small Cap
REFEX,Chemicals - Misc,Small Cap
UNIENTER,Chemicals - Misc,Small Cap
VINYLINDIA,Chemicals - Misc,Small Cap
AGARIND,Chemicals - Petro,Small Cap
DCW,Chemicals - Petro,Small Cap
DVL,Chemicals - Petro,Small Cap
KOTHARIPET,Chemicals - Petro,Small Cap
MANALIPETC,Chemicals - Petro,Small Cap
PASUPTAC,Chemicals - Petro,Small Cap
RAIN,Chemicals - Petro,Small Cap
SPLPETRO,Chemicals - Petro,Small Cap
TNPETRO,Chemicals - Petro,Small Cap
AARTIIND,Chemicals - Specialty,Mid Cap
AARTISURF,Chemicals - Specialty,Small Cap
AETHER,Chemicals - Specialty,Small Cap
ALKALI,Chemicals - Specialty,Small Cap
ALKYLAMINE,Chemicals - Specialty,Small Cap
ANURAS,Chemicals - Specialty,Small Cap
ATUL,Chemicals - Specialty,Mid Cap
BALAMINES,Chemicals - Specialty,Small Cap
BASF,Chemicals - Specialty,Small Cap
BEPL,Chemicals - Specialty,Small Cap
CAMLINFINE,Chemicals - Specialty,Small Cap
CHEMBOND,Chemicals - Specialty,Small Cap
CHEMCON,Chemicals - Specialty,Small Cap
DEEPAKNTR,Chemicals - Specialty,Mid Cap
DMCC,Chemicals - Specialty,Small Cap
EXCELINDUS,Chemicals - Specialty,Small Cap
FAIRCHEMOR,Chemicals - Specialty,Small Cap
FINEORG,Chemicals - Specialty,Small Cap
FCL,Chemicals - Specialty,Small Cap
FLUOROCHEM,Chemicals - Specialty,Mid Cap
FOSECOIND,Chemicals - Specialty,Small Cap
GALAXYSURF,Chemicals - Specialty,Small Cap
GODREJIND,Chemicals - Specialty,Small Cap
HINDCON,Chemicals - Specialty,Small Cap
HPAL,Chemicals - Specialty,Small Cap
HSCL,Chemicals - Specialty,Small Cap
INDOAMIN,Chemicals - Specialty,Small Cap
STYRENIX,Chemicals - Specialty,Small Cap
JAYAGROGN,Chemicals - Specialty,Small Cap
JUBLINGREA,Chemicals - Specialty,Small Cap
LXCHEM,Chemicals - Specialty,Small Cap
EPIGRAL,Chemicals - Specialty,Small Cap
NEOGEN,Chemicals - Specialty,Small Cap
NOCIL,Chemicals - Specialty,Small Cap
OAL,Chemicals - Specialty,Small Cap
PIDILITIND,Chemicals - Specialty,Large Cap
PLASTIBLEN,Chemicals - Specialty,Small Cap
PRIVISCL,Chemicals - Specialty,Small Cap
ROSSARI,Chemicals - Specialty,Small Cap
