Symbol,Folio,Qty,AvgPrice,StopLoss,LT_Date,LT_Price,MarketCap,Sector,Notes
MON100,Core,600,184,,19-12-2025,235,Index,NASDAQ ETF,
CUB,Core,400,203,,19-12-2025,279,Small Cap,Financials - Private Bank,
POLYCAB,Core,11,"6,966",,22-12-2025,"7,573",Mid Cap,Power - Wiring,
PRIVISCL,Core,33,"2,665.00",,22-12-2025,"3,186",Small Cap,Chemicals - Specialty,
TVSMOTOR,Core,28,"3,195.00","3,341.00",22-12-2025,"3,712",Large Cap,Auto - 2W,
CHOLAFIN,Core,50,"1,634.00",,04-12-2025,"1,735",Large Cap,Financials - MFI,
HEROMOTOCO,Sate,15,"5,260.00","5,465.00",17-11-2025,"5,800",Large Cap,Auto - 2W,
BAJAJ-AUTO,Core,5,"8,931.00",,23-12-2025,"9,136",Large Cap,Auto - 2W,
BAJFINANCE,Core,74,972,,24-12-2025,"1,036",Large Cap,Financials - NBFC,
M&M,Core,11,"3,550.00","3,500",17-10-2025,"3,621",Large Cap,Auto - PV/Trucks,
SRF,Core,12,"2,957.00",,07-10-2025,"2,957",Large Cap,Chemicals - Specialty,
TATACONSUM,Core,10,"1,182",,07-10-2025,"1,182",NA,NA,
KRISHANA,Core,40,505.00,,08-10-2025,505,Small Cap,Agrichem - Fertilizers,
ACUTAAS,Core,24,"1,574","1,612",27-10-2025,"1,721",Small Cap,Healthcare - Pharma,
HLEGLAS,Core,40,464.00,,10-10-2025,464,Small Cap,Engineering,
FEDERALBNK,Sate,215,247,243,22-12-2025,271,Mid Cap,Financials - Private Bank,
NAVINFLUOR,Core,10,"5,487.00",,15-12-2025,"6,100",Mid Cap,Chemicals - Bulk,
TATVA,Sate,20,"1,348.00","1,320.00",14-10-2025,"1,348",Small Cap,Chemicals - Specialty,
COFORGE,Core,15,"1,829.00",,27-11-2025,"1,909",Mid Cap,IT - Software/Consulting,
MCX,Sate,7,"9,997.00","9,959.00",22-12-2025,"10,724",Small Cap,IT - Product/Platform,
SHRIRAMFIN,Sate,80,825,800,28-11-2025,899,Mid Cap,Financials - NBFC,
CANBK,Sate,400,134,124,16-10-2025,134,Large Cap,Financials - PSU Bank,
IDFCFIRSTB,Sate,700,81,78,15-12-2025,84,Mid Cap,Financials - Private Bank,
PRECWIRE,Sate,240,220,215,16-10-2025,220,Small Cap,Metals - Copper,
PERSISTENT,Core,6,"5,942",,14-11-2025,"6,096",Mid Cap,IT - Software/Consulting,
TORNTPHARM,Core,12,"3,722.00",,23-12-2025,"3,820",Large Cap,Healthcare - Pharma,
BANKINDIA,Sate,120,143.00,136,22-10-2025,143,Mid Cap,Financials - PSU Bank,
PHOENIXLTD,Sate,10,"1,758","1,700",22-10-2025,"1,790",Mid Cap,Real Estate,
CUMMINSIND,Sate,11,"4,470.00","4,300",28-10-2025,"4,605",Mid Cap,Industrial - Pumps/Engines,
LAURUSLABS,Sate,50,"1,014.00",970,28-10-2025,"1,048",Mid Cap,Healthcare - Pharma,
NYKAA,Sate,45,256.00,241.00,24-12-2025,260,Mid Cap,IT - Product/Platform,
SMLMAH,Sate,2,"3,258.00","2,800",27-10-2025,"3,258",Small Cap,Auto - CV,
UJJIVANSFB,Sate,400,53,50,27-10-2025,53,Small Cap,Financials - Private Bank,
UNOMINDA,Core,24,"1,262.00",,22-12-2025,"1,274",Mid Cap,Auto - OEM Suppliers,IAS-Sept2025
