Symbol,Sector,MarketCap
20MICRONS,Industrial Minerals,Micro
3IINFOLTD,Computers - Software & Consulting,Micro
5PAISA,Stockbroking & Allied,Micro
ABINFRA,Civil Construction,Micro
AARON,Industrial Products,Micro
AARTISURF,Specialty Chemicals,Micro
ABCOTS,Other Textile Products,Micro
AFSL,Holding Company,Micro
ABSMARINE,Shipping,Micro
ACCELYA,Computers - Software & Consulting,Micro
ACCENTMIC,Pharmaceuticals,Micro
ADFFOODS,Packaged Foods,Micro
BIRLAMONEY,Stockbroking & Allied,Micro
ADOR,Other Industrial Products,Micro
ADVANCE,Pesticides & Agrochemicals,Micro
ADVANIHOTR,Hotels & Resorts,Micro
ADVENTHTL,Hotels & Resorts,Micro
AEROFLEX,Iron & Steel Products,Micro
AEROENTER,Iron & Steel Products,Micro
AGARIND,Petrochemicals,Micro
AIMTRON,Industrial Products,Micro
AKIKO,Other Financial Services,Micro
AFIL,Non Banking Financial Company (NBFC),Micro
ALBERTDAVD,Pharmaceuticals,Micro
ALICON,Auto Components & Equipments,Micro
ALLETEC,Computers - Software & Consulting,Micro
ALLTIME,Houseware,Micro
ACLGATI,Logistics Solution Provider,Micro
ALLCARGO,Logistics Solution Provider,Micro
ATL,Port & Port services,Micro
ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Micro
ADSL,IT Enabled Services,Micro
ALMONDZ,Stockbroking & Allied,Micro
ALPEXSOLAR,Other Electrical Equipment,Micro
AMANTA,Pharmaceuticals,Micro
AMBIKCO,Other Textile Products,Micro
AMNPLST,Commodity Chemicals,Micro
AMRUTANJAN,Pharmaceuticals,Micro
ANANTAM,"Road AssetsToll, Annuity, Hybrid-Annuity",Micro
AMCL,"Aluminium, Copper & Zinc Products",Micro
ACL,Cement & Cement Products,Micro
ANDHRAPAP,Paper & Paper Products,Micro
ANDHRSUGAR,Commodity Chemicals,Micro
ANDREWYU,Tea & Coffee,Micro
APCL,Cement & Cement Products,Micro
AHCL,Pharmaceuticals,Micro
