Symbol,Folio,Sector,Market Cap
20MICRONS,NSE,Metals - Misc,Small Cap
21STCENMGM,NSE,Financials - Misc,Small Cap
360ONE,NSE,Financials - Misc,Mid Cap
3MINDIA,NSE,Others,Mid Cap
3PLAND,NSE,Financials - Misc,Small Cap
5PAISA,NSE,Financials - Broking,Small Cap
63MOONS,NSE,IT - Software/Consulting,Small Cap
AAATECH,NSE,Others,Small Cap
AAREYDRUGS,NSE,Healthcare - Pharma,Small Cap
AARON,NSE,Engineering,Small Cap
AARTECH,NSE,Power - Equipment,Small Cap
AARTIDRUGS,NSE,Healthcare - Pharma,Small Cap
AARTIIND,NSE,Chemicals - Specialty,Mid Cap
AARTIPHARM,NSE,Healthcare - Pharma,Small Cap
AARTISURF,NSE,Chemicals - Specialty,Small Cap
AARVI,NSE,Human Resources,Small Cap
AAVAS,NSE,Financials - Housing,Small Cap
ABAN,NSE,Oil and Gas,Small Cap
ABB,NSE,Power - Equipment,Large Cap
ABBOTINDIA,NSE,Healthcare - Pharma,Mid Cap
ABCAPITAL,NSE,Financials - Misc,Mid Cap
ABFRL,NSE,Consumption - Retail,Mid Cap
ABMINTLLTD,NSE,Others,Small Cap
ABREL,NSE,Paper,Small Cap
ABSLAMC,NSE,Financials - AMC,Small Cap
ACC,NSE,Infra - Cement,Mid Cap
ACCELYA,NSE,IT - Software/Consulting,Small Cap
ACE,NSE,Auto - CV,Small Cap
ACEINTEG,NSE,Human Resources,Small Cap
ACI,NSE,Chemicals - Bulk,Small Cap
ACL,NSE,Infra - Cement,Small Cap
ACUTAAS,Core,Healthcare - Pharma,Small Cap
ADANIENSOL,NSE,Power - Misc,Large Cap
ADANIENT,NSE,Metals - Misc,Large Cap
ADANIGREEN,NSE,Power - Green,Large Cap
ADANIPORTS,Sate,Infra - Construction,Large Cap
ADANIPOWER,NSE,Power - Misc,Large Cap
ADFFOODS,NSE,Consumption - Misc,Small Cap
ADL,NSE,Infra - Laminates,Small Cap
ADOR,NSE,Engineering,Small Cap
ADSL,NSE,IT - Services,Small Cap
ADVANIHOTR,NSE,Leisure - Hotels,Small Cap
ADVENZYMES,NSE,Healthcare - Biotech,Small Cap
AEGISLOG,NSE,Utility - Gas,Small Cap
AEROENTER,NSE,Metals - Iron & Steel,Small Cap
AEROFLEX,NSE,Metals - Iron & Steel,Small Cap
AERONEU,NSE,Packaging,Small Cap
AETHER,NSE,Chemicals - Specialty,Small Cap
AFFLE,NSE,IT - Product/Platform,Small Cap
AFSL,NSE,Others,Small Cap
AGARIND,NSE,Chemicals - Petro,Small Cap
AGI,NSE,Packaging,Small Cap
AGRITECH,NSE,Agri - Misc,Small Cap
AGROPHOS,NSE,Agrichem - Fertilizers,Small Cap
AHLADA,NSE,Infra - Home Furnish,Small Cap
AHLEAST,NSE,Leisure - Hotels,Small Cap
AHLUCONT,NSE,Infra - Construction,Small Cap
AIAENG,Core,Metals - Casting/Forging,Mid Cap
AIRAN,NSE,IT - Services,Small Cap
AIROLAM,NSE,Infra - Laminates,Small Cap
AJANTPHARM,NSE,Healthcare - Pharma,Mid Cap
AJMERA,NSE,Real Estate,Small Cap
AKASH,NSE,Infra - Construction,Small Cap
AKSHARCHEM,NSE,Chemicals - Dyes,Small Cap
AKZOINDIA,NSE,Consumption - Paints,Small Cap
ALBERTDAVD,NSE,Healthcare - Pharma,Small Cap
ALEMBICLTD,NSE,Healthcare - Pharma,Small Cap
ALICON,NSE,Auto - OEM Suppliers,Small Cap
ALIVUS,NSE,Healthcare - Pharma,Small Cap
ALKALI,NSE,Chemicals - Specialty,Small Cap
ALKEM,NSE,Healthcare - Pharma,Mid Cap
ALKYLAMINE,NSE,Chemicals - Specialty,Small Cap
ALLCARGO,NSE,Transport - Logistics,Small Cap
ALLDIGI,NSE,Tech - BPO,Small Cap
ALPA,NSE,Healthcare - Pharma,Small Cap
ALPHAGEO,NSE,Oil and Gas,Small Cap
AMBER,NSE,Consumption - Appliances,Small Cap
AMBICAAGAR,NSE,Consumption - Misc,Small Cap
AMBIKCO,NSE,Textile - Spinning/Yarn,Small Cap
AMBUJACEM,NSE,Infra - Cement,Large Cap
AMDIND,NSE,Packaging,Small Cap
AMJLAND,NSE,Real Estate,Small Cap
AMRUTANJAN,NSE,Healthcare - Pharma,Small Cap
ANANDRATHI,NSE,Financials - Misc,Small Cap
ANANTRAJ,NSE,Real Estate,Small Cap
ANDHRAPAP,NSE,Paper,Small Cap
ANDHRSUGAR,NSE,Chemicals - Bulk,Small Cap
ANGELONE,NSE,Financials - Broking,Small Cap
ANIKINDS,NSE,Metals - Misc,Small Cap
ANTELOPUS,NSE,Oil and Gas,Small Cap
ANUP,NSE,Engineering,Small Cap
ANURAS,Sate,Chemicals - Specialty,Small Cap
APARINDS,NSE,Power - Equipment,Small Cap
APCL,NSE,Infra - Cement,Small Cap
APCOTEXIND,NSE,Industrial - Consumables,Small Cap
APEX,NSE,Consumption - Misc,Small Cap
APLAPOLLO,Core,Metals - Pipe & Tube,Mid Cap
APLLTD,NSE,Healthcare - Pharma,Small Cap
APOLLO,NSE,Defense - Technology,Small Cap
APOLLOHOSP,NSE,Healthcare - Hospitals,Large Cap
APOLLOPIPE,NSE,Infra - Plastic Pipes,Small Cap
APOLLOTYRE,NSE,Auto - Tyres,Mid Cap
APOLSINHOT,NSE,Leisure - Hotels,Small Cap
APTECHT,NSE,IT - Education,Small Cap
APTUS,NSE,Financials - Housing,Small Cap
ARCHIDPLY,NSE,Infra - Laminates,Small Cap
ARCHIES,NSE,Leisure - Misc,Small Cap
ARE&M,NSE,Batteries,Small Cap
ARENTERP,NSE,Others,Small Cap
ARIES,NSE,Agrichem - Fertilizers,Small Cap
ARIHANTCAP,NSE,Financials - Broking,Small Cap
ARIHANTSUP,NSE,Real Estate,Small Cap
ARMANFIN,NSE,Financials - NBFC,Small Cap
AROGRANITE,NSE,Infra - Granites/Marbles,Small Cap
ARROWGREEN,NSE,Packaging,Small Cap
ARTEMISMED,NSE,Healthcare - Hospitals,Small Cap
ARTNIRMAN,NSE,Real Estate,Small Cap
ARVEE,NSE,Chemicals - Bulk,Small Cap
ARVIND,NSE,Textile - Apparels,Small Cap
ARVINDFASN,NSE,Textile - Apparels,Small Cap
ARVSMART,NSE,Real Estate,Small Cap
ASAHIINDIA,NSE,Auto - OEM Suppliers,Small Cap
ASAHISONG,NSE,Chemicals - Dyes,Small Cap
ASAL,NSE,Auto - Replacement,Small Cap
ASALCBR,NSE,Beverages - Alcohol,Small Cap
ASHAPURMIN,NSE,Metals - Misc,Small Cap
ASHIANA,NSE,Real Estate,Small Cap
ASHIMASYN,NSE,Textile - Spinning/Yarn,Small Cap
ASHOKA,NSE,Infra - Construction,Small Cap
ASHOKLEY,NSE,Auto - CV,Mid Cap
ASIANENE,NSE,Oil and Gas,Small Cap
ASIANHOTNR,NSE,Leisure - Hotels,Small Cap
ASIANPAINT,NSE,Consumption - Paints,Large Cap
ASIANTILES,NSE,Infra - Ceramics,Small Cap
ASPINWALL,NSE,Transport - Logistics,Small Cap
ASTEC,NSE,Agrichem - Protection,Small Cap
ASTERDM,NSE,Healthcare - Hospitals,Small Cap
ASTRAL,NSE,Infra - Plastic Pipes,Mid Cap
ASTRAMICRO,NSE,Defense - Technology,Small Cap
ASTRAZEN,NSE,Healthcare - Pharma,Small Cap
ATALREAL,NSE,Real Estate,Small Cap
ATAM,NSE,Engineering,Small Cap
ATGL,NSE,Utility - Gas,Large Cap
ATL,NSE,Transport - Logistics,Small Cap
ATLANTAA,NSE,Infra - Construction,Small Cap
ATUL,NSE,Chemicals - Specialty,Mid Cap
ATULAUTO,NSE,Auto - CV,Small Cap
AUBANK,NSE,Financials - Private Bank,Mid Cap
AURIONPRO,NSE,IT - Software/Consulting,Small Cap
