Symbol,Folio,Sector,MarketCap,Close,DownFromHigh_%,cross_4h,cross_daily,cross_weekly
MURUDCERA,NSE,Infra - Ceramics,Small Cap,34.44,-47.84,4,6,-7
GOLDTECH,NSE,IT - Software/Consulting,Small Cap,50.4,-70.41,12,-2,-13
SMLMAH,NSE,Auto - CV,Small Cap,3681.7,-2.21,0,17,3
GICRE,NSE,Financials - Non-Life,Mid Cap,365.45,-27.06,-6,-21,10
GUJGASLTD,NSE,Utility - Gas,Mid Cap,395.15,,1,-7,0
GANECOS,NSE,Textile - Misc,Small Cap,892.85,-62.78,-2,16,-19
GICHSGFIN,NSE,Financials - Housing,Small Cap,173.92,-38.36,9,4,1
SIS,NSE,Others,Small Cap,332.9,-35.91,0,5,-16
GULFOILLUB,NSE,Petro - Lubricants,Small Cap,1211.5,,10,5,0
SIYSIL,NSE,Textile - Misc,Small Cap,631.8,-36.26,0,-29,-2
HATSUN,NSE,Consumption - Dairy,Mid Cap,983.1,,-8,-25,0
NIITMTS,NSE,IT - Education,Small Cap,420.9,-25.44,2,1,20
HARRMALAYA,NSE,Agri - Tea/Coffee,Small Cap,159.88,,10,4,0
NAGREEKCAP,NSE,Financials - Misc,Small Cap,27.98,-36.31,9,8,-4
GLOBALVECT,NSE,Transport - Logistics,Small Cap,193.75,-43.92,-5,7,-3
GOACARBON,NSE,Metals - Misc,Small Cap,394.8,-59.79,12,4,-4
GPIL,NSE,Metals - Iron & Steel,Small Cap,235.55,-68.88,-1,6,-4
GANESHBE,NSE,Oil and Gas,Small Cap,80.76,-58.83,10,2,17
NFL,NSE,Agrichem - Fertilizers,Small Cap,85.9,-43.75,-2,11,-11
NATIONALUM,NSE,Metals - Aluminium,Mid Cap,278.5,0.0,12,5,31
NAHARCAP,NSE,Financials - Misc,Small Cap,262.8,-26.56,12,5,-18
ZENITHEXPO,NSE,Leather Products,Small Cap,228.25,-47.1,-4,-2,-9
NATHBIOGEN,NSE,Agri - Seeds,Small Cap,150.84,-40.87,16,7,-20
GLOBUSSPR,NSE,Beverages - Alcohol,Small Cap,984.5,-23.64,12,1,-5
ZENSARTECH,NSE,IT - Software/Consulting,Small Cap,741.5,-23.38,2,20,-20
SRGHFL,NSE,Financials - Housing,Small Cap,264.05,-32.81,0,12,-9
AARTIPHARM,NSE,Healthcare - Pharma,Small Cap,747.1,,-5,15,0
YESBANK,NSE,Financials - Private Bank,Mid Cap,21.7,-30.89,1,-42,-1
GROBTEA,NSE,Agri - Tea/Coffee,Small Cap,1026.9,,12,1,0
GOCLCORP,NSE,Defense - Misc,Small Cap,293.45,-45.25,-2,6,-12
AARTIIND,NSE,Chemicals - Specialty,Mid Cap,369.8,,12,4,0
SMSLIFE,NSE,Healthcare - Pharma,Small Cap,1220.2,-26.77,0,-13,8
GOODLUCK,NSE,Metals - Pipe & Tube,Small Cap,1049.2,-19.09,-8,-12,-6
GRSE,NSE,Defense - Ship Building,Small Cap,2297.2,,2,-19,0
SUBROS,NSE,Auto - Replacement,Small Cap,868.95,,0,14,0
SPLIL,NSE,Textile - Misc,Small Cap,36.33,-52.6,0,-30,-2
5PAISA,NSE,Financials - Broking,Small Cap,310.8,,12,-12,0
GPPL,NSE,Infra - Construction,Small Cap,193.61,-16.74,2,9,37
ABREL,NSE,Paper,Small Cap,1738.7,,10,3,0
NESCO,NSE,Real Estate,Small Cap,1246.2,-18.94,1,7,-11
GRWRHITECH,NSE,Industrial - Consumables,Small Cap,3352.5,,-4,-17,0
HARSHA,NSE,Engineering,Small Cap,373.4,,10,2,0
SILGO,NSE,Consumption - Jewelry,Small Cap,75.13,-0.62,0,15,1
GILLANDERS,NSE,Agri - Tea/Coffee,Small Cap,101.74,-30.34,14,-24,-19
