Symbol,MarketCap,Sector,VisualAngleDeg,ATHClose,LastClose,DownFromATHPct,RSI_Monthly,CrossUpTrend
20MICRONS,Small Cap,Metals - Misc,38.37,316.5,188.66,40.39,48.43,False
21STCENMGM,Small Cap,Financials - Misc,26.56,120.71,42.21,65.03,42.21,False
360ONE,Mid Cap,Financials - Misc,44.16,1254.8,1146.7,8.61,61.38,False
3MINDIA,Mid Cap,Others,29.77,39285.8,34125.0,13.14,57.49,False
3PLAND,Small Cap,Financials - Misc,38.4,61.81,39.1,36.74,50.06,False
5PAISA,Small Cap,Financials - Broking,13.88,601.7,314.45,47.74,37.87,False
63MOONS,Small Cap,IT - Software/Consulting,42.29,1010.8,807.05,20.16,56.35,False
AAATECH,Small Cap,Others,36.5,132.95,96.83,27.17,54.27,False
AAREYDRUGS,Small Cap,Healthcare - Pharma,28.06,94.97,75.62,20.37,57.53,False
AARON,Small Cap,Engineering,41.78,224.0,180.3,19.51,55.76,False
AARTECH,Small Cap,Power - Equipment,6.39,80.98,50.24,37.96,45.79,False
AARTIDRUGS,Small Cap,Healthcare - Pharma,-24.09,727.35,405.0,44.32,43.82,False
AARTIIND,Mid Cap,Chemicals - Specialty,-38.19,1004.6,363.05,63.86,38.29,False
AARTIPHARM,Small Cap,Healthcare - Pharma,42.16,911.2,721.55,20.81,54.57,False
AARTISURF,Small Cap,Chemicals - Specialty,-33.6,1463.9,402.05,72.54,38.75,False
AARVEEDEN,Small Cap,Textile - Apparels,35.99,183.3,132.22,27.87,61.64,False
AARVI,Small Cap,Human Resources,25.43,184.2,124.09,32.63,50.3,False
AAVAS,Small Cap,Financials - Housing,-32.78,2874.1,1497.1,47.91,44.04,False
ABAN,Small Cap,Oil and Gas,11.34,82.5,32.46,60.65,40.28,False
ABB,Large Cap,Power - Equipment,39.31,8490.9,5173.5,39.07,46.32,False
ABBOTINDIA,Mid Cap,Healthcare - Pharma,39.25,35670.0,28945.0,18.85,51.75,False
ABCAPITAL,Mid Cap,Financials - Misc,34.68,358.75,358.75,0.0,75.39,False
ABFRL,Mid Cap,Consumption - Retail,-15.06,353.9,77.41,78.13,31.26,False
ABMINTLLTD,Small Cap,Others,-25.8,129.19,45.06,65.12,46.33,False
ABREL,Small Cap,Paper,38.75,2850.05,1750.3,38.59,48.25,False
ABSLAMC,Small Cap,Financials - AMC,36.06,865.2,726.5,16.03,53.5,False
ACC,Mid Cap,Infra - Cement,-5.52,2629.3,1798.2,31.61,40.79,False
ACCELYA,Small Cap,IT - Software/Consulting,29.96,1872.3,1319.9,29.5,44.72,False
ACE,Small Cap,Auto - CV,45.85,1518.8,962.25,36.64,45.47,False
ACEINTEG,Small Cap,Human Resources,11.96,55.4,22.0,60.29,39.12,False
ACI,Small Cap,Chemicals - Bulk,4.74,771.65,503.25,34.78,41.78,False
ACL,Small Cap,Infra - Cement,-22.36,645.0,73.76,88.56,46.9,False
ACUTAAS,Small Cap,Healthcare - Pharma,44.74,1837.5,1707.6,7.07,,False
ADANIENSOL,Large Cap,Power - Misc,-12.63,1138.05,978.85,13.99,57.36,False
ADANIENT,Large Cap,Metals - Misc,20.97,3917.9,2265.4,42.18,45.41,False
ADANIGREEN,Large Cap,Power - Green,-7.57,2882.8,1017.7,64.7,44.33,False
ADANIPORTS,Large Cap,Infra - Construction,40.93,1569.9,1509.4,3.85,63.63,False
ADANIPOWER,Large Cap,Power - Misc,43.01,157.85,143.78,8.91,63.98,False
ADFFOODS,Small Cap,Consumption - Misc,27.94,332.65,201.5,39.43,45.05,False
ADL,Small Cap,Infra - Laminates,39.63,104.96,73.08,30.37,43.36,False
ADOR,Small Cap,Engineering,28.95,1602.6,1065.0,33.55,50.26,False
ADSL,Small Cap,IT - Services,33.57,274.95,161.29,41.34,46.61,False
ADVANIHOTR,Small Cap,Leisure - Hotels,34.47,83.5,56.83,31.94,46.87,False
ADVENZYMES,Small Cap,Healthcare - Biotech,0.5,502.9,305.9,39.17,45.25,False
AEGISLOG,Small Cap,Utility - Gas,-22.09,907.95,740.95,18.39,42.77,False
AEROENTER,Small Cap,Metals - Iron & Steel,-35.89,102.38,82.84,19.09,,False
AEROFLEX,Small Cap,Metals - Iron & Steel,20.51,242.65,176.75,27.16,50.62,False
AERONEU,Small Cap,Packaging,-5.95,127.0,76.35,39.88,46.0,False
AETHER,Small Cap,Chemicals - Specialty,-24.14,1067.9,847.5,20.64,52.16,False
AFFLE,Small Cap,IT - Product/Platform,33.59,1998.3,1632.8,18.29,52.61,False
AFSL,Small Cap,Others,-12.26,568.8,201.07,64.65,43.04,False
AGARIND,Small Cap,Chemicals - Petro,37.33,1284.65,728.0,43.33,42.63,False
AGI,Small Cap,Packaging,41.86,1120.55,746.6,33.37,48.6,False
AGRITECH,Small Cap,Agri - Misc,35.81,243.76,130.99,46.26,43.03,False
AGROPHOS,Small Cap,Agrichem - Fertilizers,27.73,62.7,38.55,38.52,49.81,False
AHLADA,Small Cap,Infra - Home Furnish,-19.8,215.8,50.36,76.66,34.74,False
AHLEAST,Small Cap,Leisure - Hotels,38.14,170.11,135.48,20.36,46.93,False
AHLUCONT,Small Cap,Infra - Construction,38.14,1414.6,993.1,29.8,53.71,False
AIAENG,Mid Cap,Metals - Casting/Forging,36.49,4621.35,3765.8,18.51,55.74,False
AIRAN,Small Cap,IT - Services,23.42,37.69,18.22,51.66,38.53,False
AIROLAM,Small Cap,Infra - Laminates,30.95,175.85,106.5,39.44,48.88,False
AJANTPHARM,Mid Cap,Healthcare - Pharma,42.14,3243.55,2640.6,18.59,56.84,False
AJMERA,Small Cap,Real Estate,42.97,1088.15,986.9,9.3,59.8,False
AKASH,Small Cap,Infra - Construction,-40.99,234.0,24.77,89.41,36.58,False
AKSHARCHEM,Small Cap,Chemicals - Dyes,-17.34,505.45,250.3,50.48,45.92,False
AKZOINDIA,Small Cap,Consumption - Paints,34.71,4402.3,3513.4,20.19,55.64,False
ALBERTDAVD,Small Cap,Healthcare - Pharma,29.62,1625.5,783.55,51.8,43.63,False
ALEMBICLTD,Small Cap,Healthcare - Pharma,10.38,158.36,100.85,36.32,48.33,False
ALICON,Small Cap,Auto - OEM Suppliers,21.68,1423.25,882.45,38.0,48.95,False
ALIVUS,Small Cap,Healthcare - Pharma,-33.76,1104.0,883.75,19.95,,False
ALKALI,Small Cap,Chemicals - Specialty,17.98,150.65,79.51,47.22,42.23,False
ALKEM,Mid Cap,Healthcare - Pharma,40.9,6170.35,5675.5,8.02,62.79,False
ALKYLAMINE,Small Cap,Chemicals - Specialty,-31.53,4386.45,1637.4,62.67,41.28,False
ALLCARGO,Small Cap,Transport - Logistics,-17.39,111.15,12.99,88.31,27.57,False
ALLDIGI,Small Cap,Tech - BPO,-27.58,1028.55,846.3,17.72,40.68,False
ALPA,Small Cap,Healthcare - Pharma,30.83,139.2,81.31,41.59,44.65,False
ALPHAGEO,Small Cap,Oil and Gas,4.26,467.75,225.71,51.75,41.39,False
AMBER,Small Cap,Consumption - Appliances,37.8,8089.0,6562.5,18.87,54.85,False
AMBICAAGAR,Small Cap,Consumption - Misc,20.46,39.7,25.7,35.26,46.93,False
AMBIKCO,Small Cap,Textile - Spinning/Yarn,-3.07,2512.5,1237.2,50.76,41.55,False
AMBUJACEM,Large Cap,Infra - Cement,34.3,679.95,533.8,21.49,49.47,False
AMDIND,Small Cap,Packaging,24.93,83.9,52.11,37.89,47.09,False
AMJLAND,Small Cap,Real Estate,37.76,66.7,52.48,21.32,52.9,False
AMRUTANJAN,Small Cap,Healthcare - Pharma,-6.45,936.5,656.95,29.85,47.03,False
ANANDRATHI,Small Cap,Financials - Misc,46.01,3088.4,2897.9,6.17,73.65,False
ANANTRAJ,Small Cap,Real Estate,41.26,855.35,526.3,38.47,51.97,False
ANDHRAPAP,Small Cap,Paper,29.69,124.22,66.56,46.42,37.08,False
ANDHRSUGAR,Small Cap,Chemicals - Bulk,-18.74,161.9,75.44,53.4,40.91,False
ANGELONE,Small Cap,Financials - Broking,35.92,3487.8,2641.7,24.26,53.56,False
ANIKINDS,Small Cap,Metals - Misc,38.64,122.02,55.93,54.16,43.03,False
ANTELOPUS,Small Cap,Oil and Gas,-45.0,572.25,380.4,33.53,,True
ANUP,Small Cap,Engineering,42.1,3655.15,2184.4,40.24,49.41,False
ANURAS,Small Cap,Chemicals - Specialty,20.38,1261.4,1261.4,0.0,70.15,False
APARINDS,Small Cap,Power - Equipment,47.46,10317.6,8899.0,13.75,59.94,False
APCL,Small Cap,Infra - Cement,-25.83,455.62,120.12,73.64,39.49,True
