Symbol,Sector,MarketCap,Daily_Close,Daily_MACD_Fast,Daily_MACD_Slow,Daily_Crossover_Date,Daily_Crossover_Direction,Daily_Days_From_Crossover,Weekly_Close,Weekly_MACD_Fast,Weekly_MACD_Slow,Weekly_Crossover_Date,Weekly_Crossover_Direction,Weekly_Days_From_Crossover,Weekly_High_Close,Weekly_Down_Percent_From_High
20MICRONS,Metals - Misc,Small Cap,190.5,-4.07,-4.78,2025-11-28,UP,14,190.5,-9.55,-5.91,2025-09-01,DOWN,-98,339.0,-43.81
21STCENMGM,Financials - Misc,Small Cap,44.88,-0.22,-1.14,2025-12-03,UP,9,44.88,-6.24,-6.33,2025-12-08,UP,0,133.26,-66.32
360ONE,Financials - Misc,Mid Cap,1142.2,5.77,8.75,2025-12-08,DOWN,-4,1142.2,22.69,17.37,2025-11-17,UP,21,1297.15,-11.95
3MINDIA,Others,Mid Cap,35465.0,341.84,521.57,2025-11-21,DOWN,-21,35465.0,1335.57,797.13,2025-11-03,UP,35,39413.25,-10.02
3PLAND,Financials - Misc,Small Cap,37.68,-0.93,-0.85,2025-12-09,DOWN,-3,37.68,-2.0,-1.41,2025-08-18,DOWN,-112,67.15,-43.89
5PAISA,Financials - Broking,Small Cap,307.95,-4.51,-1.79,2025-12-04,DOWN,-8,307.95,-20.1,-19.76,2025-08-18,DOWN,-112,692.6,-55.54
63MOONS,IT - Software/Consulting,Small Cap,761.0,-2.56,0.73,2025-12-10,DOWN,-2,761.0,-18.69,-5.39,2025-08-11,DOWN,-119,1079.2,-29.48
AAATECH,Others,Small Cap,98.2,1.81,1.17,2025-12-01,UP,11,98.2,2.1,0.95,2025-09-29,UP,70,141.67,-30.68
AAREYDRUGS,Healthcare - Pharma,Small Cap,67.17,-6.36,-4.05,2025-11-12,DOWN,-30,67.17,5.61,7.55,2025-12-01,DOWN,-7,97.26,-30.94
AARON,Engineering,Small Cap,182.97,-4.1,-3.82,2025-11-13,DOWN,-29,182.97,-1.43,1.45,2025-09-08,DOWN,-91,228.45,-19.91
AARTECH,Power - Equipment,Small Cap,49.49,-1.0,-1.14,2025-11-28,UP,14,49.49,-3.29,-2.67,2025-08-18,DOWN,-112,91.05,-45.65
AARTIDRUGS,Healthcare - Pharma,Small Cap,394.7,-22.16,-21.26,2025-11-11,DOWN,-31,394.7,-9.04,5.0,2025-10-20,DOWN,-49,582.8,-32.28
AARTIIND,Chemicals - Specialty,Mid Cap,356.95,-8.13,-5.66,2025-11-20,DOWN,-22,356.95,-15.04,-15.11,2025-11-03,UP,35,750.95,-52.47
AARTIPHARM,Healthcare - Pharma,Small Cap,740.45,-13.91,-23.03,2025-12-02,UP,10,740.45,-23.49,-3.67,2025-08-04,DOWN,-126,951.3,-22.16
AARTISURF,Chemicals - Specialty,Small Cap,400.5,-16.17,-14.82,2025-11-14,DOWN,-28,400.5,-27.49,-22.36,2025-08-11,DOWN,-119,849.85,-52.87
AARVEEDEN,Textile - Apparels,Small Cap,149.61,-0.53,-0.11,2025-12-05,DOWN,-7,149.61,-0.61,1.83,2025-09-15,DOWN,-84,188.01,-20.42
AARVI,Human Resources,Small Cap,122.31,-0.98,0.26,2025-12-01,DOWN,-11,122.31,3.29,2.93,2025-05-05,UP,217,161.1,-24.08
AAVAS,Financials - Housing,Small Cap,1569.2,-27.82,-30.98,2025-12-12,UP,0,1569.2,-55.53,-50.01,2025-11-24,DOWN,-14,2084.05,-24.7
