Symbol,Folio,Sector,MarketCap,Close,DownFromHigh_%,cross_4h,cross_daily,cross_weekly
DHANI,NSE,Financials - Misc,Small Cap,50.46,0.0,0,0,0
MANGCHEFER,NSE,Agrichem - Fertilizers,Small Cap,307.35,,0,0,0
ACLGATI,NSE,Transport - Logistics,Small Cap,66.5,0.0,0,0,0
CREATIVE,NSE,Textile - Apparels,Small Cap,757.8,-26.56,1,6,16
EASTSILK,NSE,Textile - Misc,Small Cap,86.94,-8.03,12,-1,18
SMLISUZU,NSE,Auto - CV,Small Cap,3671.1,-19.11,0,14,-13
SMSLIFE,NSE,Healthcare - Pharma,Small Cap,1365.0,-18.08,0,-10,8
SUNDARMHLD,NSE,Financials - Misc,Small Cap,455.7,-32.32,0,1,-6
TATAMOTORS,NSE,Auto - PV/Trucks,Large Cap,345.45,-69.11,0,32,-10
KNRCON,NSE,Infra - Construction,Small Cap,143.8,-63.0,10,0,-6
KOPRAN,NSE,Healthcare - Pharma,Small Cap,129.65,-62.52,-17,13,-6
KIRLOSBROS,NSE,Industrial - Pumps/Engines,Small Cap,1646.2,-36.76,8,4,-19
KIRLOSIND,NSE,Power - Green,Small Cap,3300.3,-49.0,10,3,-9
THOMASCOTT,NSE,Textile - Apparels,Small Cap,331.55,-32.26,14,-23,-3
BIRLANU,NSE,Infra - Home Furnish,Small Cap,1540.5,-35.11,10,2,-21
BVCL,NSE,Infra - Cement,Small Cap,41.6,-42.7,7,4,-7
TEAMGTY,NSE,Financials - NBFC,Small Cap,273.15,-8.32,-8,-1,-11
NHPC,NSE,Power - Misc,Mid Cap,75.39,-33.29,-2,8,-6
KPITTECH,NSE,IT - Services,Mid Cap,1168.9,-37.34,-15,-6,6
TARC,NSE,Real Estate,Small Cap,151.03,-43.24,0,14,-19
NGLFINE,NSE,Healthcare - Pharma,Small Cap,1326.3,-50.01,12,6,-4
BHARATWIRE,NSE,Power - Wiring,Small Cap,175.0,-55.71,14,4,8
TEXMOPIPES,NSE,Infra - Plastic Pipes,Small Cap,48.9,-50.85,10,5,-19
KPIGREEN,NSE,Power - Green,Small Cap,416.95,-41.27,8,3,-6
NBIFIN,NSE,Financials - NBFC,Small Cap,2232.7,-44.13,-2,7,-19
THOMASCOOK,NSE,Leisure - Misc,Small Cap,142.1,-44.8,10,2,-11
TEMBO,NSE,Metals - Iron & Steel,Small Cap,724.5,-15.7,9,-17,26
KSB,NSE,Industrial - Pumps/Engines,Small Cap,721.75,-27.91,-2,16,-18
BERGEPAINT,NSE,Consumption - Paints,Large Cap,538.9,-13.48,8,-15,-1
AGARIND,NSE,Chemicals - Petro,Small Cap,697.7,-47.77,4,-51,-6
NILKAMAL,NSE,Consumption - Misc,Small Cap,1373.8,-38.62,12,5,-19
TCIEXP,NSE,Transport - Logistics,Small Cap,583.35,-58.52,7,10,-9
KHANDSE,NSE,Financials - Broking,Small Cap,22.07,-35.84,0,3,-11
THYROCARE,NSE,Healthcare - Diagnostics,Small Cap,442.1,-15.2,10,-17,-3
BEPL,NSE,Chemicals - Specialty,Small Cap,87.8,-48.12,-1,4,-18
TCPLPACK,NSE,Packaging,Small Cap,2940.0,-37.02,-1,-10,-35
KSL,NSE,Metals - Iron & Steel,Small Cap,734.85,-37.44,6,1,-16
BLS,NSE,Leisure - Misc,Small Cap,311.9,-38.3,-15,-6,-16
NBCC,NSE,Infra - Construction,Small Cap,109.56,-14.22,6,-11,-2
NETWORK18,NSE,Media - Entertainment,Small Cap,41.82,-67.1,-1,3,-11
BEL,NSE,Defense - Misc,Large Cap,385.6,-9.81,5,-21,-7
CAMPUS,NSE,Consumption - Footwear,Small Cap,261.65,-26.8,-18,-6,-5
63MOONS,NSE,IT - Software/Consulting,Small Cap,740.45,-31.39,-18,-6,-19
TANLA,NSE,IT - Product/Platform,Small Cap,551.5,-53.54,0,6,-8
BOSCHLTD,NSE,Auto - Replacement,Large Cap,35975.0,-12.06,-6,12,-11
TERASOFT,NSE,IT - Services,Small Cap,471.35,-18.64,4,-22,-2
KPIL,NSE,Infra - Construction,Small Cap,1160.9,-17.52,10,1,-9
KOHINOOR,NSE,Agri - Misc,Small Cap,26.48,-46.12,-3,-11,-17
KOKUYOCMLN,NSE,Consumption - Misc,Small Cap,88.74,-59.84,6,2,-12
BEDMUTHA,NSE,Power - Wiring,Small Cap,106.09,-64.45,9,13,-6
BPCL,Track,Petro - Refineries,Large Cap,368.35,-0.75,8,2,11
BHEL,Track,Power - Equipment,Mid Cap,277.85,-14.74,9,-18,11
TCS,NSE,IT - Software/Consulting,Large Cap,3217.8,-29.34,-12,-2,11
CAMS,NSE,IT - Product/Platform,Small Cap,733.8,-29.26,-1,-15,-2
BLKASHYAP,NSE,Real Estate,Small Cap,52.0,-54.64,10,13,-14
NH,NSE,Healthcare - Hospitals,Mid Cap,1874.6,-17.17,5,-13,5
TEXINFRA,NSE,Railways,Small Cap,104.17,-32.51,-16,-2,14
TI,NSE,Beverages - Alcohol,Small Cap,445.1,-15.72,10,-28,-6
KIRLOSENG,NSE,Industrial - Pumps/Engines,Small Cap,1281.4,-8.03,12,1,8
NETWEB,NSE,IT - Equipments,Small Cap,3204.2,-25.69,9,4,-4
BPL,NSE,Consumption - Electronics,Small Cap,54.04,-60.56,8,3,-10
NEULANDLAB,NSE,Healthcare - Pharma,Small Cap,15790.0,-11.48,-16,-23,-1
BLUECOAST,NSE,Leisure - Hotels,Small Cap,35.31,-54.9,3,2,-11
BYKE,NSE,Leisure - Hotels,Small Cap,50.23,-49.13,10,2,-24
KOLTEPATIL,NSE,Real Estate,Small Cap,379.5,-32.07,20,6,-13
BLAL,NSE,Real Estate,Small Cap,202.2,-40.38,-2,6,-8
