Symbol,Folio,LastClose,MarketCap,Sector,DD_High,4H_MACD,D_MACD,W_MACD,M_MACD,D_RSI,W_RSI,M_RSI,IC,CC,PnL
20MICRONS,NSE_Low,198.67,Small Cap,Metals - Misc,-42.91,20,18,-17,-11,58.0,43.0,48.0,,,
21STCENMGM,NSE_Low,50.7,Small Cap,Financials - Misc,-64.14,35,15,3,-10,78.0,48.0,46.0,,,
360ONE,NSE_Low,1181.7,Mid Cap,Financials - Misc,-10.34,4,2,6,-9,62.0,58.0,64.0,,,
3MINDIA,NSE,35010.0,Mid Cap,Others,-14.31,23,-23,8,1,53.0,64.0,62.0,,,
3PLAND,NSE_Low,37.49,Small Cap,Financials - Misc,-54.31,10,5,-19,-9,42.0,34.0,53.0,,,
5PAISA,NSE_Low,315.8,Small Cap,Financials - Broking,-58.36,14,1,1,-16,50.0,42.0,36.0,,,
63MOONS,NSE_Low,757.05,Small Cap,IT - Software/Consulting,-33.0,3,-10,-20,-1,46.0,44.0,54.0,,,
AAATECH,NSE_Low,97.3,Small Cap,Others,-39.51,-6,-1,13,-12,55.0,56.0,55.0,,,
AAREYDRUGS,NSE_Low,72.28,Small Cap,Healthcare - Pharma,-27.72,13,2,-4,7,41.0,47.0,54.0,,,
AARON,NSE_Low,181.27,Small Cap,Engineering,-29.74,16,6,-16,-1,46.0,44.0,57.0,,,
AARTECH,NSE_Low,47.98,Small Cap,Power - Equipment,-54.47,-24,-4,-19,-11,39.0,38.0,52.0,,,
AARTIDRUGS,NSE_Low,412.35,Small Cap,Healthcare - Pharma,-36.14,18,5,-10,-1,49.0,42.0,40.0,,,
AARTIIND,NSE_Low,383.4,Mid Cap,Chemicals - Specialty,-50.16,16,6,8,-15,58.0,47.0,34.0,,,
AARTIPHARM,NSE_Low,781.15,Small Cap,Healthcare - Pharma,-19.55,4,16,-21,-2,59.0,48.0,59.0,,,
AARTISURF,NSE_Low,398.75,Small Cap,Chemicals - Specialty,-56.56,19,6,-20,-13,36.0,33.0,34.0,,,
AARVI,NSE,129.5,Small Cap,Human Resources,-29.92,12,2,34,4,57.0,56.0,45.0,,,
AAVAS,NSE_Low,1483.0,Small Cap,Financials - Housing,-33.62,1,-5,-5,-5,41.0,41.0,42.0,,,
ABAN,NSE_Low,23.52,Small Cap,Oil and Gas,-74.8,-18,-13,-16,-12,18.0,21.0,34.0,,,
ABB,NSE_Low,5204.0,Large Cap,Power - Equipment,-43.13,-9,1,15,-12,52.0,46.0,48.0,,,
ABBOTINDIA,NSE_Low,28295.0,Mid Cap,Healthcare - Pharma,-23.53,8,-15,-19,-3,44.0,38.0,48.0,,,
ABCAPITAL,NSE,346.8,Mid Cap,Financials - Misc,-6.0,-18,-9,41,7,51.0,68.0,70.0,,,
ABFRL,NSE_Low,78.63,Mid Cap,Consumption - Retail,-78.42,10,18,19,-11,54.0,32.0,26.0,,,
ABMINTLLTD,NSE_Low,42.68,Small Cap,Others,-61.42,11,-40,-4,-11,43.0,43.0,44.0,,,
