Symbol,Date,Open,Close,High,Low,Volume
20MICRONS,2022-12-30,86.1,91.05,92.55,80.8,745251
20MICRONS,2023-01-31,91.05,80.5,95.3,77.0,2362341
20MICRONS,2023-02-28,81.4,67.3,82.45,66.65,1564023
20MICRONS,2023-03-31,67.15,74.3,79.0,63.05,2468309
20MICRONS,2023-04-28,75.0,83.55,86.0,73.15,1864386
20MICRONS,2023-05-31,83.65,92.25,101.45,81.25,4736482
20MICRONS,2023-06-30,92.3,94.3,104.1,89.5,5380921
20MICRONS,2023-07-31,95.8,116.6,122.0,91.5,2767182
20MICRONS,2023-08-31,114.3,115.55,119.3,105.5,900997
20MICRONS,2023-09-29,115.0,133.45,139.7,114.0,1526574
20MICRONS,2023-10-31,133.05,142.7,161.95,127.55,1268301
20MICRONS,2023-11-30,145.55,183.6,190.5,145.5,1413143
20MICRONS,2023-12-29,184.0,176.2,201.0,161.0,3913291
20MICRONS,2024-01-31,177.2,169.0,183.2,162.6,3310415
20MICRONS,2024-02-29,169.0,149.5,169.85,143.0,2154515
20MICRONS,2024-03-29,149.9,143.7,174.3,132.0,5172783
20MICRONS,2024-04-30,144.0,171.75,177.0,132.55,3835987
20MICRONS,2024-05-31,173.0,174.15,194.8,157.75,5554582
20MICRONS,2024-06-28,179.0,220.77,234.94,151.85,12603560
20MICRONS,2024-07-31,221.8,272.02,294.8,201.42,18853518
20MICRONS,2024-08-30,273.5,316.5,348.0,255.75,13761981
20MICRONS,2024-09-30,318.8,299.75,340.0,285.4,4216271
20MICRONS,2024-10-31,299.75,266.2,321.0,257.6,2057061
20MICRONS,2024-11-29,263.1,233.55,263.1,219.35,818307
20MICRONS,2024-12-31,245.22,235.48,270.35,225.7,1650139
20MICRONS,2025-01-31,235.48,203.79,263.0,178.2,4006595
20MICRONS,2025-02-28,202.95,172.07,208.0,158.2,2441755
20MICRONS,2025-03-31,172.95,191.04,218.0,165.5,2065622
20MICRONS,2025-04-30,191.0,210.52,235.6,168.0,2404442
20MICRONS,2025-05-30,212.2,225.84,249.75,202.0,2492242
20MICRONS,2025-06-30,224.2,231.28,250.1,215.05,3342828
20MICRONS,2025-07-31,233.6,234.47,283.93,219.88,12307351
20MICRONS,2025-08-29,234.41,230.87,246.61,225.84,2476943
20MICRONS,2025-09-30,231.8,207.16,238.26,204.5,2494156
20MICRONS,2025-10-31,208.35,206.83,220.94,204.76,1609998
20MICRONS,2025-11-28,206.83,191.34,221.2,183.61,1588070
20MICRONS,2025-12-31,192.04,198.67,202.7,182.6,903790
21STCENMGM,2022-12-30,22.75,22.55,23.2,22.0,94247
21STCENMGM,2023-01-31,22.95,21.0,23.05,20.35,230962
21STCENMGM,2023-02-28,21.0,17.35,21.4,16.7,138244
21STCENMGM,2023-03-31,17.5,20.8,20.8,16.5,85014
21STCENMGM,2023-04-28,21.2,18.6,22.0,18.3,36630
21STCENMGM,2023-05-31,18.6,17.85,19.1,17.75,77078
21STCENMGM,2023-06-30,17.85,23.3,23.75,17.0,146330
21STCENMGM,2023-07-31,22.95,20.8,22.95,19.15,76141
21STCENMGM,2023-08-31,20.4,18.7,21.05,18.1,153871
21STCENMGM,2023-09-29,18.75,19.65,20.7,18.4,174740
21STCENMGM,2023-10-31,19.65,18.1,20.0,17.9,105726
21STCENMGM,2023-11-30,17.95,23.85,23.85,17.7,180628
21STCENMGM,2023-12-29,24.3,32.95,33.5,24.3,402979
21STCENMGM,2024-01-31,33.3,42.95,42.95,29.85,172711
21STCENMGM,2024-02-29,43.8,50.4,53.6,41.25,107960
21STCENMGM,2024-03-29,49.4,41.6,51.35,40.4,191025
21STCENMGM,2024-04-30,41.5,50.65,55.0,41.5,187633
21STCENMGM,2024-05-31,51.65,49.2,54.5,42.7,140286
21STCENMGM,2024-06-28,50.15,66.58,66.58,47.65,276460
21STCENMGM,2024-07-31,67.91,82.96,82.96,67.91,108201
21STCENMGM,2024-08-30,84.61,120.71,120.71,84.61,160298
21STCENMGM,2024-09-30,123.12,107.0,141.4,107.0,219974
21STCENMGM,2024-10-31,104.86,110.78,122.64,96.7,185159
21STCENMGM,2024-11-29,112.99,95.5,121.44,94.05,219220
21STCENMGM,2024-12-31,93.59,89.18,101.71,87.4,220634
21STCENMGM,2025-01-31,90.96,79.03,94.75,77.92,90192
21STCENMGM,2025-02-28,80.4,71.41,81.58,65.99,78322
21STCENMGM,2025-03-31,72.83,66.67,72.83,61.5,109160
21STCENMGM,2025-04-30,67.95,73.42,80.7,65.34,87933
21STCENMGM,2025-05-30,71.95,71.02,74.84,65.44,103489
21STCENMGM,2025-06-30,69.6,58.77,69.6,58.77,146926
21STCENMGM,2025-07-31,57.59,58.98,64.19,56.43,236294
21STCENMGM,2025-08-29,58.98,53.03,60.14,53.0,84509
21STCENMGM,2025-09-30,53.01,51.56,55.15,50.3,113128
21STCENMGM,2025-10-31,51.0,46.7,52.29,44.99,120736
21STCENMGM,2025-11-28,46.9,38.25,47.89,36.03,165992
21STCENMGM,2025-12-31,39.01,50.7,50.7,39.01,126616
360ONE,2022-12-30,443.31,444.12,447.12,431.65,576808
360ONE,2023-01-31,444.26,456.77,490.0,425.5,6532240
360ONE,2023-02-28,456.83,430.86,487.25,427.0,3573268
360ONE,2023-03-31,432.61,430.7,489.95,395.1,3947889
360ONE,2023-04-28,427.0,419.85,444.4,395.8,10960386
360ONE,2023-05-31,423.0,418.5,423.9,398.0,8397289
360ONE,2023-06-30,419.1,455.0,470.5,415.0,12032927
360ONE,2023-07-31,455.0,521.65,545.0,454.05,5224652
360ONE,2023-08-31,525.0,487.35,526.9,482.5,5606235
360ONE,2023-09-29,494.7,502.1,570.0,475.0,17283259
360ONE,2023-10-31,502.1,525.1,555.2,487.55,10295030
360ONE,2023-11-30,524.8,572.25,580.0,518.1,7543363
360ONE,2023-12-29,575.0,709.85,735.0,574.45,27954017
360ONE,2024-01-31,709.85,620.05,714.4,591.5,7351429
360ONE,2024-02-29,621.0,718.95,788.95,597.25,12748367
360ONE,2024-03-29,723.0,675.6,743.85,647.0,6410397
360ONE,2024-04-30,685.0,784.05,900.95,677.3,23447315
360ONE,2024-05-31,784.0,776.15,829.9,716.25,9079736
360ONE,2024-06-28,809.0,980.15,1065.0,691.4,21977033
360ONE,2024-07-31,995.0,1132.3,1139.1,920.2,14118453
360ONE,2024-08-30,1129.8,1073.0,1215.0,982.4,16227403
360ONE,2024-09-30,1080.0,1039.6,1134.8,1016.95,10204236
360ONE,2024-10-31,1040.0,1090.5,1143.65,940.0,21015583
360ONE,2024-11-29,1095.05,1115.05,1148.85,1001.05,8977106
360ONE,2024-12-31,1115.0,1254.8,1312.1,1094.0,14258135
360ONE,2025-01-31,1253.2,1007.75,1318.0,936.9,17296713
360ONE,2025-02-28,1010.0,998.3,1067.25,865.85,18714933
360ONE,2025-03-31,994.4,942.65,1005.05,825.0,24713963
360ONE,2025-04-30,949.0,986.05,1068.9,790.5,29612573
360ONE,2025-05-30,985.55,997.45,1037.7,882.6,13818728
360ONE,2025-06-30,1005.0,1194.5,1208.7,998.0,28525245
360ONE,2025-07-31,1198.0,1052.7,1273.8,1032.0,49412433
360ONE,2025-08-29,1053.0,1018.1,1110.9,1013.3,13722350
360ONE,2025-09-30,1018.1,1024.0,1107.6,996.8,15684224
360ONE,2025-10-31,1028.9,1080.7,1200.1,1013.0,17659186
360ONE,2025-11-28,1088.7,1183.2,1186.0,1051.1,15923672
360ONE,2025-12-31,1184.9,1181.7,1198.6,1092.6,11518280
3MINDIA,2022-12-30,22622.5,21943.1,23000.0,21900.0,8364
3MINDIA,2023-01-31,22130.0,23329.05,23685.85,21300.45,56424
3MINDIA,2023-02-28,23329.05,22888.85,23994.95,21500.0,241046
3MINDIA,2023-03-31,22750.0,22963.85,23888.0,21730.0,70403
3MINDIA,2023-04-28,23189.95,22548.2,23409.95,22125.25,65255
3MINDIA,2023-05-31,22548.2,25153.45,25319.0,22201.0,95053
3MINDIA,2023-06-30,25153.45,27012.7,28500.0,25014.1,83592
3MINDIA,2023-07-31,27298.95,28922.55,29190.0,26754.1,73743
3MINDIA,2023-08-31,28987.0,31153.55,31989.0,26628.0,101487
