Symbol,Folio,IC,CC,PnL,LT_days,LT_Pert,DD_High,4H_MACD,D_MACD,W_MACD,M_MACD,W_RSI,M_RSI,AvgPrice,StopLoss,CurPrice,Sector,MarketCap,Notes,Qty,LT_Date,LT_Price,Day_RSI
MON100,Core_Low,4.4,5.2,28.3,5,0.5,-8.77,8,5,-3,6,62.0,72.0,184.0,,236.11,NASDAQ ETF,Index,,600,2025-12-19,235,54.67
CUB,Core,3.2,4.2,38.8,5,1.0,-0.76,12,-21,10,25,79.0,67.0,203.0,,281.85,Financials - Private Bank,Small Cap,,400,2025-12-19,279,62.44
POLYCAB,Core_Low,2.4,2.5,10.8,78,-0.6,-4.09,3,2,-6,3,61.0,67.0,6844.0,,7580.0,Power - Wiring,Mid Cap,,9,2025-10-07,7623,57.23
PRIVISCL,Core,2.9,3.3,24.1,51,6.5,-7.02,1,-25,10,21,68.0,72.0,2578.0,,3199.1,Chemicals - Specialty,Small Cap,,28,2025-11-03,3003,57.68
TVSMOTOR,Core_Low,3.1,3.4,19.0,78,5.0,-0.55,1,1,-7,7,70.0,78.0,3121.0,3341.0,3714.5,Auto - 2W,Large Cap,,25,2025-10-07,3537,63.97
CHOLAFIN,Core_Low,3.2,3.0,-0.8,20,-6.5,-9.01,-9,-4,-1,3,51.0,60.0,1634.0,,1621.4,Financials - MFI,Large Cap,,50,2025-12-04,1735,35.57
HEROMOTOCO,Sate_Low,3.1,3.2,9.0,37,-1.1,-10.24,-27,-10,-1,4,59.0,64.0,5260.0,5465.0,5734.5,Auto - 2W,Large Cap,,15,2025-11-17,5800,38.79
BAJAJ-AUTO,Core_Low,1.4,1.4,3.0,51,2.6,-28.53,1,-10,36,-12,58.0,61.0,8863.0,,9130.0,Auto - 2W,Large Cap,,4,2025-11-03,8902,56.67
BAJFINANCE,Core_Low,2.7,2.6,5.3,44,-5.6,-8.32,1,-8,-4,12,55.0,59.0,960.0,,1010.8,Financials - NBFC,Large Cap,,70,2025-11-10,1071,48.39
M&M,Core_Low,1.5,1.5,1.7,68,-0.3,-4.84,-11,-20,-2,7,57.0,74.0,3550.0,3500.0,3611.2,Auto - PV/Trucks,Large Cap,,11,2025-10-17,3621,45.69
SRF,Core,1.4,1.4,5.9,78,5.9,-5.86,19,17,2,12,59.0,58.0,2957.0,,3130.3,Chemicals - Specialty,Large Cap,,12,2025-10-07,2957,69.97
KRISHANA,Core_Low,0.8,0.8,4.6,77,4.6,-14.7,-3,8,-15,9,56.0,69.0,505.0,,528.0,Agrichem - Fertilizers,Small Cap,,40,2025-10-08,505,56.16
ACUTAAS,Core_Low,1.5,1.5,6.0,58,-3.1,-12.29,1,-16,-1,6,57.0,90.0,1574.0,,1668.2,Healthcare - Pharma,Small Cap,,24,2025-10-27,1721,47.2
HLEGLAS,Core_Low,0.7,0.7,-1.0,75,-1.0,-34.23,-5,8,-7,7,49.0,46.0,464.0,,459.35,Engineering,Small Cap,,40,2025-10-10,464,46.94
NEULANDLAB,Core_Low,1.3,1.2,-5.7,51,-6.4,-19.81,-21,-26,-2,3,53.0,65.0,16790.0,,15835.0,Healthcare - Pharma,Small Cap,,2,2025-11-03,16923,42.28
FEDERALBNK,Sate,1.6,1.8,13.7,27,5.7,-0.15,1,-12,11,3,82.0,74.0,238.0,243.0,270.7,Financials - Private Bank,Mid Cap,,175,2025-11-27,256,78.34
NAVINFLUOR,Core,2.2,2.2,6.3,9,-4.3,-6.23,-5,-3,9,12,63.0,66.0,5487.0,,5835.0,Chemicals - Bulk,Mid Cap,,10,2025-12-15,6100,50.29
TATVA,Sate,1.1,1.0,3.6,71,3.6,-37.06,-7,-24,11,8,63.0,54.0,1348.0,1320.0,1397.2,Chemicals - Specialty,Small Cap,,20,2025-10-14,1348,46.25
COFORGE,Core,1.1,1.0,2.0,27,-2.3,-7.0,-19,-9,7,2,56.0,63.0,1829.0,,1865.0,IT - Software/Consulting,Mid Cap,,15,2025-11-27,1909,50.77
MCX,Sate,2.2,2.3,12.8,70,12.8,-0.53,3,-13,11,30,73.0,76.0,9270.0,8980.0,10460.0,IT - Product/Platform,Small Cap,,6,2025-10-15,9270,62.53
SHRIRAMFIN,Sate,2.6,2.8,13.3,26,4.0,-0.3,13,2,12,2,80.0,72.0,825.0,800.0,934.9,Financials - NBFC,Mid Cap,,80,2025-11-28,899,77.97
CANBK,Sate,2.1,2.2,11.8,69,11.8,-2.85,11,-17,15,4,74.0,68.0,134.0,124.0,149.81,Financials - PSU Bank,Large Cap,,400,2025-10-16,134,58.88
IDFCFIRSTB,Sate,2.2,2.2,5.5,9,1.7,-15.12,13,6,10,3,68.0,62.0,81.0,78.0,85.47,Financials - Private Bank,Mid Cap,,700,2025-12-15,84,67.9
PRECWIRE,Sate,2.1,2.1,7.1,69,7.1,-14.97,1,-21,13,3,61.0,67.0,220.0,215.0,235.65,Metals - Copper,Small Cap,,240,2025-10-16,220,49.3
SOUTHBANK,Sate,2.9,2.8,2.0,33,-3.0,-4.47,1,-35,12,7,71.0,71.0,39.0,36.0,39.79,Financials - Private Bank,Small Cap,,1900,2025-11-21,41,55.58
PERSISTENT,Core_Low,1.4,1.4,9.0,40,6.2,-4.6,5,-15,11,-6,64.0,67.0,5942.0,,6476.5,IT - Software/Consulting,Mid Cap,,6,2025-11-14,6096,61.1
