Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ACUTAAS,2025-11-11,1796.1,0.0,0.0,
ACUTAAS,2025-11-11,1749.9,-3.69,-0.74,0.0
ACUTAAS,2025-11-12,1680.8,-12.04,-3.0,0.0
ACUTAAS,2025-11-12,1706.6,-16.4,-5.68,3.98
ACUTAAS,2025-11-13,1698.4,-20.27,-8.6,3.93
ACUTAAS,2025-11-13,1678.8,-24.64,-11.81,3.8
ACUTAAS,2025-11-14,1704.0,-25.78,-14.6,8.06
ACUTAAS,2025-11-14,1714.7,-25.52,-16.78,9.88
ACUTAAS,2025-11-17,1715.7,-24.94,-18.42,10.06
ACUTAAS,2025-11-17,1710.0,-24.66,-19.67,9.94
ACUTAAS,2025-11-18,1707.0,-24.4,-20.61,9.87
ACUTAAS,2025-11-18,1714.0,-23.36,-21.16,11.39
ACUTAAS,2025-11-19,1710.0,-22.6,-21.45,11.27
ACUTAAS,2025-11-19,1720.0,-20.95,-21.35,13.65
ACUTAAS,2025-11-20,1725.7,-18.96,-20.87,15.05
ACUTAAS,2025-11-20,1733.0,-16.6,-20.02,16.91
ACUTAAS,2025-11-21,1723.0,-15.37,-19.09,16.38
ACUTAAS,2025-11-21,1702.5,-15.86,-18.44,15.32
ACUTAAS,2025-11-24,1812.0,-7.33,-16.22,38.25
ACUTAAS,2025-11-24,1879.0,4.79,-12.02,47.59
ACUTAAS,2025-11-25,1798.9,7.83,-8.05,39.83
ACUTAAS,2025-11-25,1781.5,8.74,-4.69,38.37
ACUTAAS,2025-11-26,1786.8,9.78,-1.8,39.1
ACUTAAS,2025-11-26,1788.0,10.57,0.68,39.28
ACUTAAS,2025-11-27,1795.7,11.69,2.88,40.47
ACUTAAS,2025-11-27,1785.2,11.59,4.62,39.34
ACUTAAS,2025-11-28,1828.0,14.8,6.66,45.98
ACUTAAS,2025-11-28,1836.8,17.85,8.9,47.26
ACUTAAS,2025-12-01,1798.6,16.98,10.51,42.55
ACUTAAS,2025-12-01,1767.0,13.59,11.13,39.08
ACUTAAS,2025-12-02,1743.4,8.9,10.68,36.68
ACUTAAS,2025-12-02,1743.3,5.11,9.57,36.67
ACUTAAS,2025-12-03,1739.5,1.78,8.01,36.25
ACUTAAS,2025-12-03,1746.0,-0.33,6.34,37.56
ACUTAAS,2025-12-04,1716.2,-4.36,4.2,34.1
ACUTAAS,2025-12-04,1712.0,-7.8,1.8,33.64
ACUTAAS,2025-12-05,1695.0,-11.76,-0.91,31.73
ACUTAAS,2025-12-05,1711.0,-13.45,-3.42,35.43
ACUTAAS,2025-12-08,1669.9,-17.91,-6.32,30.81
ACUTAAS,2025-12-08,1650.8,-22.71,-9.6,28.93
ACUTAAS,2025-12-09,1686.0,-23.41,-12.36,36.63
ACUTAAS,2025-12-09,1664.0,-25.45,-14.98,34.14
ACUTAAS,2025-12-10,1701.6,-23.76,-16.73,41.47
ACUTAAS,2025-12-10,1681.9,-23.73,-18.13,39.02
ACUTAAS,2025-12-11,1661.1,-25.1,-19.53,36.56
ACUTAAS,2025-12-11,1656.0,-26.29,-20.88,35.96
ACUTAAS,2025-12-12,1660.2,-26.59,-22.02,36.88
ACUTAAS,2025-12-12,1662.5,-26.34,-22.89,37.41
ACUTAAS,2025-12-15,1623.9,-28.92,-24.09,32.5
ACUTAAS,2025-12-15,1630.7,-30.07,-25.29,34.14
ACUTAAS,2025-12-16,1671.3,-27.39,-25.71,43.04
ACUTAAS,2025-12-16,1694.8,-23.11,-25.19,47.46
ACUTAAS,2025-12-17,1663.4,-21.99,-24.55,42.69
ACUTAAS,2025-12-17,1661.9,-20.98,-23.84,42.47
ACUTAAS,2025-12-18,1636.0,-22.02,-23.47,38.76
ACUTAAS,2025-12-18,1626.0,-23.38,-23.46,37.4
ACUTAAS,2025-12-19,1624.5,-24.3,-23.63,37.19
ACUTAAS,2025-12-19,1650.0,-22.71,-23.44,43.06
ACUTAAS,2025-12-22,1668.2,-19.75,-22.7,46.87
ADANIPORTS,2025-11-11,1445.0,0.0,0.0,
ADANIPORTS,2025-11-11,1473.7,2.29,0.46,100.0
ADANIPORTS,2025-11-12,1510.2,6.97,1.76,100.0
ADANIPORTS,2025-11-12,1506.9,10.29,3.47,99.14
ADANIPORTS,2025-11-13,1498.4,12.1,5.19,96.83
ADANIPORTS,2025-11-13,1497.0,13.27,6.81,96.43
ADANIPORTS,2025-11-14,1509.7,15.04,8.46,96.57
ADANIPORTS,2025-11-14,1513.2,16.54,10.07,96.61
ADANIPORTS,2025-11-17,1507.6,17.08,11.48,94.76
ADANIPORTS,2025-11-17,1509.8,17.49,12.68,94.8
ADANIPORTS,2025-11-18,1495.2,16.44,13.43,89.64
ADANIPORTS,2025-11-18,1491.8,15.16,13.78,88.44
ADANIPORTS,2025-11-19,1486.7,13.58,13.74,86.56
ADANIPORTS,2025-11-19,1484.2,11.98,13.39,85.59
