Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ACUTAAS,2025-09-19,1458.1,0.0,0.0,
ACUTAAS,2025-09-22,1460.3,0.18,0.04,100.0
ACUTAAS,2025-09-23,1450.1,-0.5,-0.07,73.71
ACUTAAS,2025-09-24,1449.2,-1.1,-0.28,71.91
ACUTAAS,2025-09-25,1411.1,-4.59,-1.14,34.07
ACUTAAS,2025-09-26,1358.1,-11.51,-3.21,19.05
ACUTAAS,2025-09-29,1348.3,-17.58,-6.09,17.51
ACUTAAS,2025-09-30,1317.8,-24.56,-9.78,13.78
ACUTAAS,2025-10-01,1381.5,-24.67,-12.76,41.7
ACUTAAS,2025-10-03,1386.7,-24.07,-15.02,43.31
ACUTAAS,2025-10-06,1403.4,-21.98,-16.41,48.27
ACUTAAS,2025-10-07,1401.5,-20.25,-17.18,47.75
ACUTAAS,2025-10-08,1401.5,-18.67,-17.48,47.75
ACUTAAS,2025-10-09,1421.4,-15.62,-17.11,53.71
ACUTAAS,2025-10-10,1467.5,-9.38,-15.56,63.96
ACUTAAS,2025-10-13,1498.4,-1.92,-12.83,68.92
ACUTAAS,2025-10-14,1496.9,3.83,-9.5,68.43
ACUTAAS,2025-10-15,1548.8,12.43,-5.12,75.07
ACUTAAS,2025-10-16,1553.4,19.39,-0.22,75.57
ACUTAAS,2025-10-17,1646.9,32.08,6.24,82.92
ACUTAAS,2025-10-20,1763.6,50.97,15.19,87.85
ACUTAAS,2025-10-21,1788.6,67.18,25.59,88.6
ACUTAAS,2025-10-23,1740.2,75.26,35.52,78.41
ACUTAAS,2025-10-24,1683.3,76.19,43.65,68.44
ACUTAAS,2025-10-27,1731.3,79.88,50.9,71.71
ACUTAAS,2025-10-28,1714.6,80.53,56.82,69.03
ACUTAAS,2025-10-29,1689.3,78.1,61.08,65.07
ACUTAAS,2025-10-30,1703.5,76.44,64.15,66.24
ACUTAAS,2025-10-31,1727.7,76.2,66.56,68.2
ACUTAAS,2025-11-03,1810.4,81.74,69.6,73.79
ACUTAAS,2025-11-04,1834.3,87.05,73.09,75.15
ACUTAAS,2025-11-06,1769.9,85.09,75.49,65.32
ACUTAAS,2025-11-07,1765.0,82.19,76.83,64.62
ACUTAAS,2025-11-10,1764.4,78.93,77.25,64.53
ACUTAAS,2025-11-11,1755.9,74.8,76.76,63.19
ACUTAAS,2025-11-12,1706.6,66.78,74.76,55.9
ACUTAAS,2025-11-13,1682.1,57.78,71.37,52.65
ACUTAAS,2025-11-14,1711.1,52.39,67.57,55.91
ACUTAAS,2025-11-17,1709.4,47.43,63.54,55.67
ACUTAAS,2025-11-18,1714.0,43.37,59.51,56.23
ACUTAAS,2025-11-19,1720.0,40.17,55.64,56.98
ACUTAAS,2025-11-20,1732.4,38.2,52.15,58.57
ACUTAAS,2025-11-21,1701.8,33.78,48.48,53.33
ACUTAAS,2025-11-24,1872.2,43.52,47.49,69.62
ACUTAAS,2025-11-25,1784.1,43.63,46.72,58.29
ACUTAAS,2025-11-26,1794.8,44.07,46.19,59.16
ACUTAAS,2025-11-27,1788.7,43.43,45.64,58.41
ACUTAAS,2025-11-28,1837.5,46.33,45.77,62.5
ACUTAAS,2025-12-01,1773.8,42.99,45.22,54.92
ACUTAAS,2025-12-02,1743.3,37.44,43.66,51.69
ACUTAAS,2025-12-03,1735.4,32.05,41.34,50.85
ACUTAAS,2025-12-04,1709.2,25.36,38.14,48.08
ACUTAAS,2025-12-05,1707.6,19.71,34.46,47.91
ACUTAAS,2025-12-08,1651.0,10.54,29.67,42.17
ACUTAAS,2025-12-09,1666.2,4.45,24.63,44.11
ACUTAAS,2025-12-10,1681.9,0.88,19.88,46.11
ACUTAAS,2025-12-11,1659.5,-3.72,15.16,43.7
ACUTAAS,2025-12-12,1664.0,-6.92,10.74,44.33
ACUTAAS,2025-12-15,1630.7,-12.0,6.2,40.7
ACUTAAS,2025-12-16,1694.4,-10.76,2.8,49.26
ACUTAAS,2025-12-17,1661.9,-12.27,-0.21,45.64
ACUTAAS,2025-12-18,1631.4,-15.74,-3.32,42.49
ACUTAAS,2025-12-19,1648.5,-16.91,-6.03,44.79
ADANIPORTS,2025-09-19,1427.8,0.0,0.0,
ADANIPORTS,2025-09-22,1444.2,1.31,0.26,100.0
ADANIPORTS,2025-09-23,1441.6,2.11,0.63,98.8
ADANIPORTS,2025-09-24,1431.6,1.92,0.89,94.1
ADANIPORTS,2025-09-25,1407.2,-0.2,0.67,83.65
ADANIPORTS,2025-09-26,1392.0,-3.07,-0.08,77.85
ADANIPORTS,2025-09-29,1383.2,-5.99,-1.26,74.63
ADANIPORTS,2025-09-30,1403.5,-6.59,-2.33,76.99
ADANIPORTS,2025-10-01,1422.7,-5.45,-2.95,78.99
ADANIPORTS,2025-10-03,1419.1,-4.78,-3.32,77.63
ADANIPORTS,2025-10-06,1400.5,-5.69,-3.79,70.84
ADANIPORTS,2025-10-07,1399.5,-6.41,-4.31,70.48
ADANIPORTS,2025-10-08,1394.3,-7.32,-4.92,68.55
ADANIPORTS,2025-10-09,1395.6,-7.85,-5.5,68.78
ADANIPORTS,2025-10-10,1409.4,-7.07,-5.82,71.2
ADANIPORTS,2025-10-13,1437.8,-4.11,-5.47,75.41
ADANIPORTS,2025-10-14,1429.0,-2.45,-4.87,71.9
ADANIPORTS,2025-10-15,1450.7,0.61,-3.77,74.99
ADANIPORTS,2025-10-16,1479.5,5.3,-1.96,78.39
ADANIPORTS,2025-10-17,1479.4,8.9,0.21,78.35
ADANIPORTS,2025-10-20,1467.0,10.63,2.3,73.37
ADANIPORTS,2025-10-21,1473.5,12.39,4.31,74.3
ADANIPORTS,2025-10-23,1453.1,12.0,5.85,66.51
ADANIPORTS,2025-10-24,1429.0,9.63,6.61,58.69
ADANIPORTS,2025-10-27,1420.6,6.99,6.68,56.21
ADANIPORTS,2025-10-28,1417.9,4.64,6.27,55.4
ADANIPORTS,2025-10-29,1454.8,5.68,6.16,63.21
ADANIPORTS,2025-10-30,1457.9,6.68,6.26,63.78
ADANIPORTS,2025-10-31,1451.5,6.87,6.38,61.65
ADANIPORTS,2025-11-03,1444.7,6.41,6.39,59.37
ADANIPORTS,2025-11-04,1444.4,5.94,6.3,59.27
ADANIPORTS,2025-11-05,1444.4,5.51,6.14,59.27
ADANIPORTS,2025-11-06,1436.8,4.51,5.81,56.37
ADANIPORTS,2025-11-07,1448.3,4.58,5.57,59.59
ADANIPORTS,2025-11-10,1444.9,4.32,5.32,58.22
ADANIPORTS,2025-11-11,1474.4,6.42,5.54,65.6
ADANIPORTS,2025-11-12,1506.9,10.58,6.55,71.57
ADANIPORTS,2025-11-13,1499.0,13.09,7.86,68.46
ADANIPORTS,2025-11-14,1512.7,16.01,9.49,70.82
ADANIPORTS,2025-11-17,1507.6,17.7,11.13,68.76
ADANIPORTS,2025-11-18,1495.0,17.82,12.47,63.8
ADANIPORTS,2025-11-19,1484.2,16.84,13.34,59.82
ADANIPORTS,2025-11-20,1491.1,16.44,13.96,61.48
