Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ACUTAAS,2025-06-30,1144.4,0.0,0.0,
ACUTAAS,2025-07-31,1327.4,14.6,2.92,100.0
ACUTAAS,2025-08-29,1406.0,32.14,8.76,100.0
ACUTAAS,2025-09-30,1317.8,38.48,14.71,96.28
ACUTAAS,2025-10-31,1727.7,75.71,26.91,96.86
ACUTAAS,2025-11-28,1837.5,112.77,44.08,97.0
ACUTAAS,2025-12-31,1648.5,125.45,60.35,89.79
ADANIPORTS,2022-12-30,818.1,0.0,0.0,
ADANIPORTS,2023-01-31,612.65,-16.39,-3.28,0.0
ADANIPORTS,2023-02-28,592.45,-30.65,-8.75,0.0
ADANIPORTS,2023-03-31,631.9,-38.33,-14.67,1.55
ADANIPORTS,2023-04-28,681.3,-39.97,-19.73,3.58
ADANIPORTS,2023-05-31,738.85,-36.21,-23.03,6.0
ADANIPORTS,2023-06-30,739.25,-32.82,-24.99,6.01
ADANIPORTS,2023-07-31,777.85,-26.71,-25.33,7.81
ADANIPORTS,2023-08-31,792.2,-20.47,-24.36,8.52
ADANIPORTS,2023-09-29,825.15,-12.72,-22.03,10.21
ADANIPORTS,2023-10-31,784.75,-9.73,-19.57,9.96
ADANIPORTS,2023-11-30,825.5,-4.03,-16.46,12.23
ADANIPORTS,2023-12-29,1024.35,16.35,-9.9,22.5
ADANIPORTS,2024-01-31,1207.65,46.76,1.43,30.56
ADANIPORTS,2024-02-29,1320.5,79.05,16.95,35.04
ADANIPORTS,2024-03-29,1341.85,105.15,34.59,35.89
ADANIPORTS,2024-04-30,1324.9,123.04,52.28,35.49
ADANIPORTS,2024-05-31,1437.4,144.64,70.75,40.18
ADANIPORTS,2024-06-28,1478.1,163.16,89.23,41.83
ADANIPORTS,2024-07-31,1569.9,183.13,108.01,45.48
ADANIPORTS,2024-08-30,1481.9,189.67,124.34,42.72
ADANIPORTS,2024-09-30,1448.2,189.94,137.46,41.67
ADANIPORTS,2024-10-31,1375.95,182.23,146.42,39.44
ADANIPORTS,2024-11-29,1190.05,159.28,148.99,34.35
ADANIPORTS,2024-12-31,1231.1,142.76,147.74,36.31
ADANIPORTS,2025-01-31,1099.35,117.68,141.73,32.92
ADANIPORTS,2025-02-28,1069.4,94.3,132.25,32.18
ADANIPORTS,2025-03-31,1182.95,83.97,122.59,37.85
ADANIPORTS,2025-04-30,1216.5,77.59,113.59,39.46
ADANIPORTS,2025-05-30,1432.8,88.96,108.66,48.69
ADANIPORTS,2025-06-30,1450.2,98.25,106.58,49.36
ADANIPORTS,2025-07-31,1373.1,98.25,104.92,46.47
ADANIPORTS,2025-08-29,1312.8,92.33,102.4,44.28
ADANIPORTS,2025-09-30,1403.5,93.87,100.69,48.23
ADANIPORTS,2025-10-31,1451.5,97.83,100.12,50.23
ADANIPORTS,2025-11-28,1516.9,105.04,101.1,52.91
ADANIPORTS,2025-12-31,1496.4,107.86,102.46,51.97
AIAENG,2022-12-30,2564.95,0.0,0.0,
AIAENG,2023-01-31,2747.45,14.56,2.91,100.0
AIAENG,2023-02-28,2650.65,18.08,5.94,96.08
AIAENG,2023-03-31,2903.1,40.77,12.91,96.47
AIAENG,2023-04-28,2718.75,43.37,19.0,89.49
AIAENG,2023-05-31,3064.7,72.52,29.7,90.83
AIAENG,2023-06-30,3200.45,105.35,44.83,91.3
AIAENG,2023-07-31,3458.35,150.45,65.96,92.12
AIAENG,2023-08-31,3695.15,202.96,93.36,92.8
AIAENG,2023-09-29,3512.7,227.23,120.13,86.64
AIAENG,2023-10-31,3515.55,243.89,144.88,86.66
AIAENG,2023-11-30,3591.65,260.23,167.95,87.07
AIAENG,2023-12-29,3689.5,277.87,189.94,87.6
AIAENG,2024-01-31,4107.35,321.86,216.32,89.58
AIAENG,2024-02-29,3645.5,315.81,236.22,75.29
AIAENG,2024-03-29,3915.25,328.99,254.77,77.54
AIAENG,2024-04-30,3797.2,326.16,269.05,74.35
AIAENG,2024-05-31,3676.3,310.57,277.35,71.12
AIAENG,2024-06-28,4178.55,334.89,288.86,75.82
AIAENG,2024-07-31,4621.35,385.44,308.18,79.06
AIAENG,2024-08-30,4295.25,394.65,325.47,71.47
AIAENG,2024-09-30,4336.4,400.64,340.51,71.84
AIAENG,2024-10-31,3819.75,359.56,344.32,61.18
AIAENG,2024-11-29,3499.25,297.71,335.0,55.67
AIAENG,2024-12-31,3402.65,238.15,315.63,54.09
AIAENG,2025-01-31,3680.6,210.95,294.69,57.8
AIAENG,2025-02-28,3141.25,144.21,264.6,49.44
AIAENG,2025-03-31,3351.7,107.06,233.09,52.34
AIAENG,2025-04-30,3193.9,64.15,199.3,50.02
AIAENG,2025-05-30,3497.9,54.05,170.25,54.22
AIAENG,2025-06-30,3309.8,30.52,142.3,51.35
AIAENG,2025-07-31,3132.6,-2.41,113.36,48.73
AIAENG,2025-08-29,3056.3,-34.26,83.84,47.6
AIAENG,2025-09-30,3053.3,-59.06,55.26,47.55
AIAENG,2025-10-31,3249.9,-62.14,31.78,50.94
AIAENG,2025-11-28,3862.6,-14.97,22.43,59.68
AIAENG,2025-12-31,3803.9,17.48,21.44,58.6
ANURAS,2022-12-30,679.45,0.0,0.0,
ANURAS,2023-01-31,593.6,-6.85,-1.37,0.0
ANURAS,2023-02-28,645.15,-8.02,-2.7,4.42
ANURAS,2023-03-31,865.35,8.71,-0.42,20.55
ANURAS,2023-04-28,1129.3,42.78,8.22,34.77
ANURAS,2023-05-31,1166.0,71.91,20.96,36.47
ANURAS,2023-06-30,1030.0,83.07,33.38,33.03
ANURAS,2023-07-31,974.9,86.47,44.0,31.72
ANURAS,2023-08-31,1004.95,90.54,53.31,33.27
ANURAS,2023-09-29,884.85,83.12,59.27,30.31
ANURAS,2023-10-31,883.55,76.26,62.67,30.28
ANURAS,2023-11-30,986.6,78.23,65.78,35.95
ANURAS,2023-12-29,1052.05,84.11,69.45,39.32
ANURAS,2024-01-31,949.3,79.55,71.47,36.1
ANURAS,2024-02-29,956.3,75.64,72.3,36.49
ANURAS,2024-03-29,870.45,64.86,70.81,33.82
ANURAS,2024-04-30,832.55,52.66,67.18,32.69
ANURAS,2024-05-31,762.65,36.92,61.13,30.65
ANURAS,2024-06-28,764.75,24.33,53.77,30.79
ANURAS,2024-07-31,783.95,15.73,46.16,32.13
ANURAS,2024-08-30,778.8,8.4,38.61,31.95
ANURAS,2024-09-30,736.95,-0.78,30.73,30.46
ANURAS,2024-10-31,733.4,-8.25,22.93,30.33
ANURAS,2024-11-29,732.85,-14.05,15.54,30.31
ANURAS,2024-12-31,722.15,-19.28,8.57,29.87
ANURAS,2025-01-31,692.25,-25.55,1.75,28.61
