Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ACUTAAS,2025-06-06,1140.5,0.0,0.0,
ACUTAAS,2025-06-13,1104.7,-2.86,-0.57,0.0
ACUTAAS,2025-06-20,1132.2,-2.87,-1.03,5.58
ACUTAAS,2025-06-27,1141.4,-2.11,-1.25,7.44
ACUTAAS,2025-07-04,1122.1,-3.03,-1.6,7.12
ACUTAAS,2025-07-11,1146.4,-1.78,-1.64,12.2
ACUTAAS,2025-07-18,1203.2,3.75,-0.56,22.81
ACUTAAS,2025-07-25,1158.5,4.48,0.45,20.69
ACUTAAS,2025-08-01,1296.5,16.0,3.56,39.41
ACUTAAS,2025-08-08,1280.7,23.59,7.56,38.3
ACUTAAS,2025-08-15,1300.0,30.8,12.21,40.51
ACUTAAS,2025-08-22,1423.9,45.99,18.97,52.33
ACUTAAS,2025-08-29,1406.0,55.94,26.36,50.76
ACUTAAS,2025-09-05,1474.6,68.56,34.8,56.19
ACUTAAS,2025-09-12,1442.1,75.08,42.86,53.2
ACUTAAS,2025-09-19,1458.1,80.61,50.41,54.48
ACUTAAS,2025-09-26,1358.1,76.05,55.54,45.99
ACUTAAS,2025-10-03,1386.7,73.88,59.21,48.46
ACUTAAS,2025-10-10,1467.5,77.79,62.92,54.77
ACUTAAS,2025-10-17,1646.9,94.28,69.19,65.0
ACUTAAS,2025-10-24,1683.3,109.03,77.16,66.65
ACUTAAS,2025-10-31,1727.7,122.88,86.31,68.6
ACUTAAS,2025-11-07,1765.0,135.31,96.11,70.17
ACUTAAS,2025-11-14,1711.1,139.21,104.73,65.09
ACUTAAS,2025-11-21,1701.8,139.93,111.77,64.23
ACUTAAS,2025-11-28,1837.5,149.73,119.36,70.4
ACUTAAS,2025-12-05,1707.6,145.34,124.56,59.77
ACUTAAS,2025-12-12,1664.0,136.76,127.0,56.68
ACUTAAS,2025-12-19,1648.5,127.25,127.05,55.58
ADANIPORTS,2023-12-22,1027.5,0.0,0.0,
ADANIPORTS,2023-12-29,1024.35,-0.25,-0.05,0.0
ADANIPORTS,2024-01-05,1154.25,9.92,1.94,76.03
ADANIPORTS,2024-01-12,1207.1,21.99,5.95,82.02
ADANIPORTS,2024-01-19,1152.45,26.83,10.13,64.17
ADANIPORTS,2024-01-26,1146.3,29.83,14.07,62.52
ADANIPORTS,2024-02-02,1261.45,41.03,19.46,75.31
ADANIPORTS,2024-02-09,1271.5,50.14,25.6,76.08
ADANIPORTS,2024-02-16,1306.85,59.52,32.38,78.6
ADANIPORTS,2024-02-23,1320.7,67.3,39.36,79.51
ADANIPORTS,2024-03-01,1322.1,72.74,46.04,79.6
ADANIPORTS,2024-03-08,1325.45,76.44,52.12,79.84
