Symbol,Close,DD_High,4H_MACD,Day_MACD,Week_MACD,Month_MACD,Day_RSI,Week_RSI,Month_RSI
MANORAMA,1355.8,-22.97,-7,25,-21,-1,52.43,49.94,67.58
LUPIN,2125.2,-11.56,7,4,17,-10,65.24,60.8,64.61
AIAENG,3885.4,-21.51,11,-13,13,1,58.82,70.39,59.97
SHRIPISTON,3133.5,-3.88,-7,12,3,5,66.72,73.87,78.93
MANINDS,405.75,-21.01,-9,-13,-2,2,41.37,50.15,56.8
SHRIRAMFIN,934.9,-0.3,13,2,12,2,77.97,79.98,71.89
M&M,3611.2,-4.84,-11,-20,-2,7,45.69,56.74,73.69
SAFARI,2194.8,-20.03,-29,-11,7,-11,38.09,49.19,54.72
MFSL,1690.4,-3.48,-10,-15,-1,9,54.04,63.39,72.93
PRIVISCL,3199.1,-7.02,1,-25,10,21,57.68,67.84,71.52
RACLGEAR,1039.0,-22.91,-5,-2,-5,6,48.97,51.31,41.53
PRICOLLTD,652.7,-5.85,9,3,19,2,62.0,73.25,73.74
PRECWIRE,235.65,-14.97,1,-21,13,3,49.3,60.57,66.85
POLYCAB,7580.0,-4.09,3,2,-6,3,57.23,60.52,66.8
PHOENIXLTD,1841.6,-10.97,19,7,17,-11,73.03,65.28,66.38
RAJRATAN,463.3,-50.18,31,1,10,3,58.27,62.47,38.98
PERSISTENT,6476.5,-4.6,5,-15,11,-6,61.1,64.24,67.35
PAYTM,1342.1,-2.87,3,1,-6,15,57.04,64.83,70.52
NYKAA,253.8,-7.11,1,-16,-3,9,48.63,58.69,62.2
MCX,10460.0,-0.53,3,-13,11,30,62.53,72.94,76.29
RICOAUTO,123.68,-21.22,13,5,6,2,62.01,67.57,63.23
NEULANDLAB,15835.0,-19.81,-21,-26,-2,3,42.28,53.37,64.81
ACUTAAS,1668.2,-12.29,1,-16,-1,6,47.2,56.73,90.49
NAVINFLUOR,5835.0,-6.23,-5,-3,9,12,50.29,63.41,65.87
NATIONALUM,287.85,-0.12,13,6,32,2,73.42,75.87,75.74
NAM-INDIA,892.8,-9.58,15,7,-8,7,57.63,58.47,72.68
MOTILALOFS,875.2,-32.6,12,1,-6,7,44.52,46.68,53.65
MOTHERSON,121.98,-15.68,-8,1,16,1,65.82,71.11,64.61
SBILIFE,2028.6,-2.78,-6,-25,8,8,57.08,67.95,69.42
