Symbol,Sector,MarketCap,Date,Open,Close,High,Low,Volume
20MICRONS,Metals - Misc,Small Cap,2023-12-18,180.1,189.45,201.0,161.0,1465864
20MICRONS,Metals - Misc,Small Cap,2023-12-25,189.45,176.2,196.0,174.5,1004773
20MICRONS,Metals - Misc,Small Cap,2024-01-01,177.2,175.25,183.2,168.5,944080
20MICRONS,Metals - Misc,Small Cap,2024-01-08,178.0,178.15,181.85,172.0,639004
20MICRONS,Metals - Misc,Small Cap,2024-01-15,181.65,170.85,183.0,162.6,881476
20MICRONS,Metals - Misc,Small Cap,2024-01-22,170.85,175.6,177.7,164.35,380430
20MICRONS,Metals - Misc,Small Cap,2024-01-29,176.0,163.5,177.5,163.0,662314
20MICRONS,Metals - Misc,Small Cap,2024-02-05,165.95,156.35,167.9,151.85,672740
20MICRONS,Metals - Misc,Small Cap,2024-02-12,156.3,154.4,158.95,144.5,468643
20MICRONS,Metals - Misc,Small Cap,2024-02-19,156.0,155.1,159.2,145.0,457738
20MICRONS,Metals - Misc,Small Cap,2024-02-26,156.15,149.15,156.2,143.0,410404
20MICRONS,Metals - Misc,Small Cap,2024-03-04,147.55,148.7,174.3,143.35,3528193
20MICRONS,Metals - Misc,Small Cap,2024-03-11,149.05,151.1,154.9,132.0,850154
20MICRONS,Metals - Misc,Small Cap,2024-03-18,152.0,145.05,159.0,143.6,470250
20MICRONS,Metals - Misc,Small Cap,2024-03-25,145.05,143.7,150.0,138.7,272287
20MICRONS,Metals - Misc,Small Cap,2024-04-01,144.0,153.5,161.7,134.8,824589
20MICRONS,Metals - Misc,Small Cap,2024-04-08,154.0,153.55,161.0,152.05,385668
20MICRONS,Metals - Misc,Small Cap,2024-04-15,132.55,150.75,161.8,132.55,638593
20MICRONS,Metals - Misc,Small Cap,2024-04-22,153.0,162.85,168.0,149.95,930386
20MICRONS,Metals - Misc,Small Cap,2024-04-29,164.15,170.15,177.0,162.5,1230127
20MICRONS,Metals - Misc,Small Cap,2024-05-06,172.9,162.45,176.0,159.05,600284
20MICRONS,Metals - Misc,Small Cap,2024-05-13,162.05,187.9,195.0,157.75,3166055
20MICRONS,Metals - Misc,Small Cap,2024-05-20,187.65,173.3,192.0,172.5,751366
20MICRONS,Metals - Misc,Small Cap,2024-05-27,175.2,174.15,185.65,164.0,1048534
