Symbol,Date,Open,Close,High,Low,Volume
ACUTAAS,2025-11-10,1770.1,1740.8,1789.0,1737.1,82529
ACUTAAS,2025-11-10,1740.9,1756.0,1782.9,1738.5,128838
ACUTAAS,2025-11-11,1754.5,1796.1,1820.9,1754.5,157127
ACUTAAS,2025-11-11,1796.1,1749.9,1809.9,1731.1,143362
ACUTAAS,2025-11-12,1752.9,1680.8,1752.9,1667.1,259030
ACUTAAS,2025-11-12,1680.4,1706.6,1709.9,1678.6,174709
ACUTAAS,2025-11-13,1703.0,1698.4,1719.6,1697.0,28104
ACUTAAS,2025-11-13,1698.8,1678.8,1702.2,1678.0,75063
ACUTAAS,2025-11-14,1665.7,1704.0,1709.0,1665.7,34216
ACUTAAS,2025-11-14,1704.0,1714.7,1715.8,1701.0,65157
ACUTAAS,2025-11-17,1716.3,1715.7,1743.9,1713.5,47541
ACUTAAS,2025-11-17,1715.0,1710.0,1722.0,1703.2,61356
ACUTAAS,2025-11-18,1709.5,1707.0,1711.2,1685.5,50174
ACUTAAS,2025-11-18,1707.8,1714.0,1720.0,1699.8,121056
ACUTAAS,2025-11-19,1706.9,1710.0,1726.3,1695.6,77715
ACUTAAS,2025-11-19,1710.0,1720.0,1723.6,1709.9,61918
ACUTAAS,2025-11-20,1733.8,1725.7,1739.9,1708.8,57015
ACUTAAS,2025-11-20,1725.0,1733.0,1739.1,1723.2,48749
ACUTAAS,2025-11-21,1725.5,1723.0,1727.3,1703.5,41480
ACUTAAS,2025-11-21,1723.0,1702.5,1726.0,1692.2,118286
ACUTAAS,2025-11-24,1700.3,1812.0,1860.0,1696.1,898013
ACUTAAS,2025-11-24,1812.4,1879.0,1900.2,1798.1,1113955
ACUTAAS,2025-11-25,1876.2,1798.9,1876.2,1778.1,185325
ACUTAAS,2025-11-25,1798.2,1781.5,1800.9,1778.6,124487
ACUTAAS,2025-11-26,1792.1,1786.8,1799.9,1759.0,103688
ACUTAAS,2025-11-26,1788.8,1788.0,1799.9,1766.9,82590
ACUTAAS,2025-11-27,1795.0,1795.7,1798.1,1763.0,62335
ACUTAAS,2025-11-27,1793.9,1785.2,1797.6,1780.0,38892
ACUTAAS,2025-11-28,1791.8,1828.0,1849.0,1775.1,150158
ACUTAAS,2025-11-28,1827.3,1836.8,1843.3,1820.7,101052
ACUTAAS,2025-12-01,1846.7,1798.6,1846.7,1796.0,66309
ACUTAAS,2025-12-01,1797.2,1767.0,1799.9,1766.0,92918
ACUTAAS,2025-12-02,1766.0,1743.4,1766.0,1741.0,39442
ACUTAAS,2025-12-02,1743.4,1743.3,1753.5,1737.0,76749
ACUTAAS,2025-12-03,1753.9,1739.5,1778.0,1736.1,38984
ACUTAAS,2025-12-03,1739.5,1746.0,1746.0,1727.8,61720
ACUTAAS,2025-12-04,1735.0,1716.2,1750.0,1712.2,42512
ACUTAAS,2025-12-04,1717.0,1712.0,1718.0,1700.0,75658
ACUTAAS,2025-12-05,1715.1,1695.0,1715.1,1688.3,21963
ACUTAAS,2025-12-05,1695.0,1711.0,1730.0,1695.0,47425
ACUTAAS,2025-12-08,1710.0,1669.9,1710.0,1665.6,47553
ACUTAAS,2025-12-08,1670.9,1650.8,1671.3,1635.2,97494
ACUTAAS,2025-12-09,1643.9,1686.0,1692.4,1616.0,352107
ACUTAAS,2025-12-09,1686.0,1664.0,1689.7,1651.0,83825
ACUTAAS,2025-12-10,1670.1,1701.6,1717.0,1661.4,192291
ACUTAAS,2025-12-10,1703.2,1681.9,1710.0,1668.2,99263
ACUTAAS,2025-12-11,1689.9,1661.1,1689.9,1656.0,39066
ACUTAAS,2025-12-11,1661.2,1656.0,1671.0,1656.0,49264
ACUTAAS,2025-12-12,1670.0,1660.2,1672.5,1645.9,37300
ACUTAAS,2025-12-12,1660.2,1662.5,1673.6,1652.1,61623
ACUTAAS,2025-12-15,1655.2,1623.9,1655.7,1622.0,64713
ACUTAAS,2025-12-15,1623.8,1630.7,1634.9,1622.0,112786
ACUTAAS,2025-12-16,1634.9,1671.3,1708.8,1625.0,280129
ACUTAAS,2025-12-16,1670.2,1694.8,1701.9,1668.2,230462
ACUTAAS,2025-12-17,1693.9,1663.4,1693.9,1658.6,25693
ACUTAAS,2025-12-17,1662.0,1661.9,1668.0,1647.5,43001
ACUTAAS,2025-12-18,1644.9,1636.0,1647.5,1625.0,75861
ACUTAAS,2025-12-18,1636.0,1626.0,1637.0,1626.0,48257
ACUTAAS,2025-12-19,1635.0,1624.5,1646.8,1618.4,21959
ACUTAAS,2025-12-19,1625.0,1650.0,1652.7,1624.0,102774
ADANIPORTS,2025-11-10,1454.8,1451.3,1454.8,1444.0,373171
ADANIPORTS,2025-11-10,1450.9,1444.0,1452.7,1441.1,550905
ADANIPORTS,2025-11-11,1450.3,1445.0,1454.5,1437.8,412794
ADANIPORTS,2025-11-11,1445.0,1473.7,1475.9,1445.0,1626143
ADANIPORTS,2025-11-12,1477.0,1510.2,1513.5,1476.0,1792801
ADANIPORTS,2025-11-12,1510.4,1506.9,1514.9,1500.8,1417846
ADANIPORTS,2025-11-13,1511.9,1498.4,1514.9,1497.7,598842
ADANIPORTS,2025-11-13,1498.4,1497.0,1502.7,1488.0,1006567
ADANIPORTS,2025-11-14,1498.5,1509.7,1523.5,1498.5,854257
ADANIPORTS,2025-11-14,1509.6,1513.2,1515.7,1502.0,879642
ADANIPORTS,2025-11-17,1517.7,1507.6,1518.9,1503.1,879617
ADANIPORTS,2025-11-17,1507.6,1509.8,1509.9,1505.1,560401
ADANIPORTS,2025-11-18,1516.2,1495.2,1516.9,1490.2,523453
ADANIPORTS,2025-11-18,1495.2,1491.8,1502.8,1491.8,971190
ADANIPORTS,2025-11-19,1498.1,1486.7,1498.5,1478.0,623191
ADANIPORTS,2025-11-19,1486.7,1484.2,1488.5,1482.0,810537
ADANIPORTS,2025-11-20,1498.1,1497.3,1505.0,1492.1,322186
ADANIPORTS,2025-11-20,1497.6,1490.4,1499.8,1487.9,655448
ADANIPORTS,2025-11-21,1490.5,1479.8,1490.5,1468.0,419420
ADANIPORTS,2025-11-21,1479.6,1479.8,1485.8,1477.0,408162
ADANIPORTS,2025-11-24,1481.0,1480.7,1486.7,1471.5,493052
ADANIPORTS,2025-11-24,1480.7,1485.9,1490.0,1478.0,1786154
ADANIPORTS,2025-11-25,1492.0,1482.3,1492.0,1474.5,529230
ADANIPORTS,2025-11-25,1482.0,1483.9,1488.3,1480.1,652774
ADANIPORTS,2025-11-26,1487.4,1509.8,1522.7,1487.4,2219661
ADANIPORTS,2025-11-26,1509.8,1508.9,1512.2,1502.9,711831
ADANIPORTS,2025-11-27,1512.5,1503.7,1513.5,1501.0,275378
ADANIPORTS,2025-11-27,1503.7,1509.1,1510.4,1502.5,338735
ADANIPORTS,2025-11-28,1510.0,1528.4,1531.0,1503.2,1163977
ADANIPORTS,2025-11-28,1528.1,1516.9,1534.3,1515.0,902802
ADANIPORTS,2025-12-01,1523.9,1534.6,1548.6,1523.9,1640219
ADANIPORTS,2025-12-01,1534.5,1530.5,1535.0,1523.0,1122723
ADANIPORTS,2025-12-02,1527.4,1513.0,1530.0,1512.0,524011
ADANIPORTS,2025-12-02,1512.9,1518.1,1520.7,1510.0,1071809
ADANIPORTS,2025-12-03,1517.9,1498.3,1523.7,1495.7,811671
ADANIPORTS,2025-12-03,1498.3,1500.3,1503.8,1489.1,783073
ADANIPORTS,2025-12-04,1497.7,1502.1,1507.9,1490.7,588546
ADANIPORTS,2025-12-04,1502.1,1505.6,1509.0,1500.0,706214
ADANIPORTS,2025-12-05,1505.6,1509.0,1511.2,1493.3,541014
ADANIPORTS,2025-12-05,1509.0,1511.0,1513.6,1505.1,429765
ADANIPORTS,2025-12-08,1508.4,1486.8,1508.7,1483.6,279940
ADANIPORTS,2025-12-08,1486.7,1480.5,1486.8,1472.8,573470
ADANIPORTS,2025-12-09,1472.2,1492.9,1494.7,1461.3,380607
ADANIPORTS,2025-12-09,1492.9,1496.5,1499.0,1480.5,653416
ADANIPORTS,2025-12-10,1500.1,1508.5,1521.0,1500.1,780745
ADANIPORTS,2025-12-10,1508.6,1498.1,1512.0,1493.6,513158
ADANIPORTS,2025-12-11,1499.5,1506.9,1513.2,1497.1,591116
ADANIPORTS,2025-12-11,1506.5,1504.0,1515.0,1501.1,600119
ADANIPORTS,2025-12-12,1511.5,1516.1,1524.8,1511.5,380333
ADANIPORTS,2025-12-12,1516.1,1519.8,1527.1,1515.0,550591
ADANIPORTS,2025-12-15,1521.4,1516.0,1521.4,1508.3,265196
ADANIPORTS,2025-12-15,1516.0,1510.9,1516.4,1510.0,311181
ADANIPORTS,2025-12-16,1512.0,1502.5,1512.0,1497.7,427115
ADANIPORTS,2025-12-16,1502.5,1497.9,1505.9,1495.1,513233
ADANIPORTS,2025-12-17,1497.7,1485.7,1500.0,1483.6,320610
ADANIPORTS,2025-12-17,1485.7,1485.3,1488.9,1479.4,437438
ADANIPORTS,2025-12-18,1483.6,1491.1,1493.1,1476.2,373132
ADANIPORTS,2025-12-18,1491.7,1496.0,1498.0,1484.3,310419
ADANIPORTS,2025-12-19,1497.0,1494.2,1503.6,1490.8,432732
ADANIPORTS,2025-12-19,1494.2,1496.4,1499.7,1491.3,705734
AIAENG,2025-11-10,3341.2,3431.7,3437.0,3307.8,300122
AIAENG,2025-11-10,3434.8,3445.9,3476.9,3427.2,137017
AIAENG,2025-11-11,3476.8,3557.0,3579.1,3476.8,97189
AIAENG,2025-11-11,3556.0,3560.0,3580.0,3555.4,82789
AIAENG,2025-11-12,3583.0,3594.9,3630.1,3576.7,39099
AIAENG,2025-11-12,3591.7,3601.1,3610.0,3587.0,29468
AIAENG,2025-11-13,3585.1,3670.1,3677.3,3585.1,82248
AIAENG,2025-11-13,3671.6,3713.2,3717.3,3669.9,54000
AIAENG,2025-11-14,3709.0,3672.2,3740.2,3672.2,26711
AIAENG,2025-11-14,3671.9,3692.0,3698.8,3665.5,25663
AIAENG,2025-11-17,3694.0,3745.0,3760.2,3694.0,24517
AIAENG,2025-11-17,3745.0,3760.4,3773.0,3743.3,26061
AIAENG,2025-11-18,3761.0,3729.5,3761.0,3676.5,38407
AIAENG,2025-11-18,3729.5,3709.0,3741.5,3700.0,28516
AIAENG,2025-11-19,3700.9,3699.9,3740.0,3686.1,57647
AIAENG,2025-11-19,3699.9,3760.0,3773.9,3686.8,33256
AIAENG,2025-11-20,3750.0,3757.9,3787.7,3697.5,27530
AIAENG,2025-11-20,3757.9,3849.0,3851.0,3750.7,56710
AIAENG,2025-11-21,3844.9,3705.5,3844.9,3692.7,32113
AIAENG,2025-11-21,3705.5,3670.5,3713.1,3660.5,31080
AIAENG,2025-11-24,3691.0,3711.3,3729.3,3652.5,17385
AIAENG,2025-11-24,3711.3,3734.6,3799.0,3690.0,86315
AIAENG,2025-11-25,3722.7,3835.8,3842.5,3693.6,22072
AIAENG,2025-11-25,3837.5,3822.6,3842.0,3807.1,31656
AIAENG,2025-11-26,3843.8,3792.4,3866.0,3770.6,18140
AIAENG,2025-11-26,3793.8,3740.5,3805.0,3740.5,30936
AIAENG,2025-11-27,3758.9,3816.0,3845.0,3758.9,21926
AIAENG,2025-11-27,3814.6,3835.4,3845.8,3814.6,57447
AIAENG,2025-11-28,3849.8,3860.2,3885.5,3826.3,20333
AIAENG,2025-11-28,3860.0,3862.6,3877.7,3806.5,21905
