Symbol,Date,Open,Close,High,Low,Volume
ACUTAAS,2025-06-30,1170.0,1144.4,1194.0,1059.0,7363472
ACUTAAS,2025-07-31,1130.0,1327.4,1350.0,1084.7,8702395
ACUTAAS,2025-08-29,1351.9,1406.0,1445.0,1261.2,6392799
ACUTAAS,2025-09-30,1418.0,1317.8,1530.3,1305.6,6185687
ACUTAAS,2025-10-31,1302.0,1727.7,1868.2,1302.0,8964201
ACUTAAS,2025-11-28,1732.6,1837.5,1902.0,1661.0,7475986
ACUTAAS,2025-12-31,1847.2,1648.5,1848.1,1613.2,3378945
ADANIPORTS,2022-12-30,860.45,818.1,896.0,785.3,52784128
ADANIPORTS,2023-01-31,823.0,612.65,826.75,537.0,231070475
ADANIPORTS,2023-02-28,627.0,592.45,629.0,395.1,549832517
ADANIPORTS,2023-03-31,598.0,631.9,722.75,571.55,310686036
ADANIPORTS,2023-04-28,638.55,681.3,683.0,622.15,71696086
ADANIPORTS,2023-05-31,683.8,738.85,785.65,656.75,175302405
ADANIPORTS,2023-06-30,730.5,739.25,759.9,703.0,134902058
ADANIPORTS,2023-07-31,744.5,777.85,780.0,708.0,60561333
ADANIPORTS,2023-08-31,778.95,792.2,869.0,751.55,187567549
ADANIPORTS,2023-09-29,780.0,825.15,889.5,779.65,137577432
ADANIPORTS,2023-10-31,826.0,784.75,845.45,754.5,63920642
ADANIPORTS,2023-11-30,784.75,825.5,854.4,767.2,83341589
ADANIPORTS,2023-12-29,839.2,1024.35,1102.4,825.5,212022930
ADANIPORTS,2024-01-31,1026.55,1207.65,1229.9,1023.0,168682761
ADANIPORTS,2024-02-29,1213.6,1320.5,1343.0,1200.3,77449571
ADANIPORTS,2024-03-29,1335.0,1341.85,1358.7,1188.1,65846077
ADANIPORTS,2024-04-30,1356.8,1324.9,1424.95,1270.0,84607519
ADANIPORTS,2024-05-31,1333.95,1437.4,1457.05,1240.0,97199175
ADANIPORTS,2024-06-28,1549.0,1478.1,1621.4,1160.6,204984154
ADANIPORTS,2024-07-31,1483.0,1569.9,1577.9,1419.0,62459357
ADANIPORTS,2024-08-30,1580.95,1481.9,1604.95,1452.0,59447282
ADANIPORTS,2024-09-30,1490.0,1448.2,1499.5,1394.45,40453579
ADANIPORTS,2024-10-31,1448.2,1375.95,1472.85,1303.15,45622925
ADANIPORTS,2024-11-29,1386.5,1190.05,1397.95,995.65,163718615
ADANIPORTS,2024-12-31,1201.9,1231.1,1309.5,1174.25,81213327
ADANIPORTS,2025-01-31,1223.0,1099.35,1237.6,1010.75,76755855
ADANIPORTS,2025-02-28,1105.9,1069.4,1175.65,1040.0,64886915
ADANIPORTS,2025-03-31,1074.95,1182.95,1212.0,1036.5,41642055
ADANIPORTS,2025-04-30,1179.0,1216.5,1282.5,1041.5,49137450
ADANIPORTS,2025-05-30,1255.0,1432.8,1457.5,1242.7,75930401
ADANIPORTS,2025-06-30,1432.8,1450.2,1494.0,1331.6,57406461
ADANIPORTS,2025-07-31,1450.3,1373.1,1474.0,1370.3,23141534
ADANIPORTS,2025-08-29,1371.0,1312.8,1397.0,1290.5,42790650
ADANIPORTS,2025-09-30,1318.3,1403.5,1461.7,1312.8,51693752
ADANIPORTS,2025-10-31,1406.0,1451.5,1490.5,1386.0,46215049
ADANIPORTS,2025-11-28,1451.5,1516.9,1534.3,1425.0,41499087
ADANIPORTS,2025-12-31,1530.0,1496.4,1549.0,1460.9,22302027
AIAENG,2022-12-30,2651.0,2564.95,2768.0,2493.3,351730
AIAENG,2023-01-31,2569.45,2747.45,2911.25,2383.5,2136621
AIAENG,2023-02-28,2743.5,2650.65,2899.0,2640.0,1337301
AIAENG,2023-03-31,2651.0,2903.1,2960.0,2642.7,1199846
AIAENG,2023-04-28,2918.4,2718.75,2988.0,2620.0,1005569
AIAENG,2023-05-31,2718.75,3064.7,3094.7,2664.45,2288611
AIAENG,2023-06-30,3058.0,3200.45,3498.95,2994.35,2050498
AIAENG,2023-07-31,3205.0,3458.35,3617.6,3100.75,1705890
AIAENG,2023-08-31,3469.95,3695.15,3720.0,3326.0,2276312
AIAENG,2023-09-29,3720.0,3512.7,3824.0,3365.25,1608443
AIAENG,2023-10-31,3502.3,3515.55,3598.0,3340.05,1070157
AIAENG,2023-11-30,3543.0,3591.65,3830.0,3404.6,1873193
AIAENG,2023-12-29,3600.05,3689.5,3781.3,3488.05,1024334
AIAENG,2024-01-31,3707.95,4107.35,4235.0,3525.75,1835664
