D_Symbol,D_Sector,D_MarketCap,D_Date,D_Close,D_EMA10,D_RSI,D_ATR,D_ATR_pct,D_DI+,D_DI-,D_ADX,D_Prev_Close,D_Prev_High,W_Symbol,W_Sector,W_MarketCap,W_Date,W_Close,W_EMA10,W_RSI,W_ATR,W_ATR_pct,W_DI+,W_DI-,W_ADX,W_Prev_Close,W_Prev_High
20MICRONS,Metals - Misc,Small Cap,2025-10-10,212.33,214.30,39.33,7.34,3.46,11.91,23.78,21.97,209.78,217.72,20MICRONS,Metals - Misc,Small Cap,2025-10-10,212.33,224.87,62.82,16.75,7.89,19.59,16.25,34.65,217.17,221.98
21STCENMGM,Financials - Misc,Small Cap,2025-10-10,47.20,49.46,19.54,1.75,3.71,6.75,22.46,23.05,47.79,48.99,21STCENMGM,Financials - Misc,Small Cap,2025-10-10,47.20,52.97,43.48,3.44,7.28,7.84,33.66,38.44,50.21,52.37
360ONE,Financials - Misc,Mid Cap,2025-10-10,1095.10,1066.42,60.40,26.13,2.39,26.61,16.22,18.88,1084.40,1093.80,360ONE,Financials - Misc,Mid Cap,2025-10-10,1095.10,1062.45,67.64,71.92,6.57,25.17,16.07,31.74,1049.20,1051.70
3MINDIA,Others,Mid Cap,2025-10-10,29590.00,29362.91,47.48,546.11,1.85,16.14,17.40,18.36,29265.00,29370.00,3MINDIA,Others,Mid Cap,2025-10-10,29590.00,29883.55,64.08,1272.30,4.30,12.62,13.11,19.09,29135.00,29675.00
3PLAND,Financials - Misc,Small Cap,2025-10-10,43.03,43.84,40.97,2.03,4.72,8.76,17.84,18.57,44.46,44.75,3PLAND,Financials - Misc,Small Cap,2025-10-10,43.03,45.16,51.59,4.62,10.74,7.91,11.13,25.62,44.09,45.49
5PAISA,Financials - Broking,Small Cap,2025-10-10,328.70,346.57,26.25,13.73,4.18,30.21,11.85,21.75,345.25,354.00,5PAISA,Financials - Broking,Small Cap,2025-10-10,328.70,358.80,44.40,25.82,7.85,19.58,16.64,22.31,354.65,357.00
63MOONS,IT - Software/Consulting,Small Cap,2025-10-10,840.60,863.15,34.27,26.87,3.20,20.42,23.79,15.63,849.45,863.25,63MOONS,IT - Software/Consulting,Small Cap,2025-10-10,840.60,900.40,47.24,79.53,9.46,22.87,15.57,34.48,861.35,879.90
AAATECH,Others,Small Cap,2025-10-10,101.34,98.23,58.65,7.22,7.12,47.60,22.10,38.10,96.52,96.52,AAATECH,Others,Small Cap,2025-10-10,101.34,88.17,69.03,10.42,10.28,44.66,7.61,36.05,105.28,105.28
AAREYDRUGS,Healthcare - Pharma,Small Cap,2025-10-10,82.00,81.47,63.16,3.06,3.73,20.49,20.49,18.31,81.34,82.00,AAREYDRUGS,Healthcare - Pharma,Small Cap,2025-10-10,82.00,74.10,82.49,6.07,7.40,31.91,11.47,31.23,82.22,83.90
AARTECH,Power - Equipment,Small Cap,2025-10-10,53.24,53.11,41.60,2.07,3.89,14.10,19.39,24.62,52.67,53.58,AARTECH,Power - Equipment,Small Cap,2025-10-10,53.24,57.21,58.80,5.35,10.04,12.34,17.11,24.99,52.62,54.49
AARON,Engineering,Small Cap,2025-10-10,188.14,186.85,44.15,7.88,4.19,16.35,22.31,17.93,186.69,188.59,AARON,Engineering,Small Cap,2025-10-10,188.14,198.82,42.38,18.46,9.81,17.59,18.03,26.58,187.74,193.99
AARTIDRUGS,Healthcare - Pharma,Small Cap,2025-10-10,515.20,502.94,59.29,14.91,2.89,27.86,13.69,23.42,508.40,521.10,AARTIDRUGS,Healthcare - Pharma,Small Cap,2025-10-10,515.20,493.02,67.87,36.12,7.01,27.12,14.99,38.68,491.60,494.00
AARTIIND,Chemicals - Specialty,Mid Cap,2025-10-10,378.00,378.85,43.70,7.37,1.95,16.03,19.90,12.95,380.50,381.95,AARTIIND,Chemicals - Specialty,Mid Cap,2025-10-10,378.00,388.70,52.02,24.25,6.42,11.22,21.41,33.73,380.60,382.80
AARTIPHARM,Healthcare - Pharma,Small Cap,2025-10-10,831.40,836.67,42.38,22.35,2.69,16.23,23.74,23.58,834.75,855.05,AARTIPHARM,Healthcare - Pharma,Small Cap,2025-10-10,831.40,857.60,59.58,64.14,7.71,19.36,20.96,29.75,826.90,840.30
AARVEEDEN,Textile - Apparels,Small Cap,2025-10-10,151.42,158.82,34.71,7.95,5.25,14.42,25.46,22.73,156.10,161.05,AARVEEDEN,Textile - Apparels,Small Cap,2025-10-10,151.42,164.84,46.26,13.93,9.20,16.88,16.41,29.13,164.91,169.70
AARTISURF,Chemicals - Specialty,Small Cap,2025-10-10,461.60,466.09,37.72,12.77,2.77,8.09,19.30,32.13,461.60,467.95,AARTISURF,Chemicals - Specialty,Small Cap,2025-10-10,461.60,481.24,49.01,33.98,7.36,16.45,22.68,23.31,466.80,473.75
AARVI,Human Resources,Small Cap,2025-10-10,123.83,123.23,53.13,4.88,3.94,25.20,14.49,20.42,123.54,124.04,AARVI,Human Resources,Small Cap,2025-10-10,123.83,120.47,66.48,10.12,8.18,26.27,7.32,50.49,120.47,125.50
AAVAS,Financials - Housing,Small Cap,2025-10-10,1631.70,1644.78,47.35,39.27,2.41,19.38,22.31,16.02,1624.30,1663.70,AAVAS,Financials - Housing,Small Cap,2025-10-10,1631.70,1659.50,41.16,125.23,7.68,13.80,18.27,14.96,1662.00,1670.00
ABB,Power - Equipment,Large Cap,2025-10-10,5186.00,5191.25,46.76,84.37,1.63,24.69,29.40,17.59,5146.50,5162.00,ABB,Power - Equipment,Large Cap,2025-10-10,5186.00,5251.86,65.26,230.10,4.44,23.39,20.70,21.97,5183.50,5246.00
ABAN,Oil and Gas,Small Cap,2025-10-10,40.47,41.31,33.44,1.40,3.46,13.67,20.63,13.11,40.35,40.79,ABAN,Oil and Gas,Small Cap,2025-10-10,40.47,43.91,47.67,3.93,9.71,20.68,21.82,21.29,41.71,43.30
ABBOTINDIA,Healthcare - Pharma,Mid Cap,2025-10-10,30130.00,29966.60,43.99,639.21,2.12,12.73,21.81,38.85,29690.00,30090.00,ABBOTINDIA,Healthcare - Pharma,Mid Cap,2025-10-10,30130.00,30969.13,55.19,1432.02,4.75,16.33,16.78,31.55,29965.00,30400.00
ABCAPITAL,Financials - Misc,Mid Cap,2025-10-10,293.35,296.49,51.86,7.33,2.50,22.63,20.81,17.55,297.95,299.00,ABCAPITAL,Financials - Misc,Mid Cap,2025-10-10,293.35,283.53,72.97,15.00,5.11,30.25,9.49,52.61,303.95,304.95
ABMINTLLTD,Others,Small Cap,2025-10-10,58.00,48.36,77.76,2.53,4.36,55.36,15.47,33.51,55.56,56.26,ABMINTLLTD,Others,Small Cap,2025-10-10,58.00,48.23,59.23,5.86,10.10,37.52,30.69,21.08,42.34,42.34
ABFRL,Consumption - Retail,Mid Cap,2025-10-10,83.19,85.58,42.46,2.52,3.03,23.86,24.78,18.31,84.57,85.60,ABFRL,Consumption - Retail,Mid Cap,2025-10-10,83.19,86.37,44.33,10.52,12.64,13.84,34.14,49.07,87.99,88.99
ABREL,Paper,Small Cap,2025-10-10,1627.70,1648.63,35.07,56.12,3.45,8.54,30.82,39.49,1610.10,1638.90,ABREL,Paper,Small Cap,2025-10-10,1627.70,1785.06,46.68,136.20,8.37,16.24,27.45,27.46,1619.20,1760.00
ABSLAMC,Financials - AMC,Small Cap,2025-10-10,821.40,812.47,50.55,18.73,2.28,14.95,23.65,20.82,804.10,823.00,ABSLAMC,Financials - AMC,Small Cap,2025-10-10,821.40,820.35,58.08,45.27,5.51,22.88,14.31,46.21,813.85,815.75
ACC,Infra - Cement,Mid Cap,2025-10-10,1885.60,1858.26,60.95,28.91,1.53,22.94,14.51,14.69,1874.80,1881.20,ACC,Infra - Cement,Mid Cap,2025-10-10,1885.60,1852.68,59.67,72.45,3.84,22.95,17.92,20.47,1849.10,1853.00
ACCELYA,IT - Software/Consulting,Small Cap,2025-10-10,1500.20,1491.15,66.02,23.80,1.59,25.18,10.60,33.21,1499.30,1509.00,ACCELYA,IT - Software/Consulting,Small Cap,2025-10-10,1500.20,1448.87,79.06,58.73,3.91,22.47,7.52,33.33,1500.00,1509.90
ACEINTEG,Human Resources,Small Cap,2025-10-10,23.63,23.94,42.78,1.30,5.51,16.17,14.62,14.29,23.66,24.20,ACEINTEG,Human Resources,Small Cap,2025-10-10,23.63,24.63,61.45,2.78,11.77,13.34,10.04,21.58,24.32,25.44
ACE,Auto - CV,Small Cap,2025-10-10,1069.00,1082.07,43.52,25.50,2.39,20.53,23.91,18.50,1071.40,1084.90,ACE,Auto - CV,Small Cap,2025-10-10,1069.00,1086.80,43.09,72.26,6.76,14.72,21.17,19.83,1076.80,1104.40
ACI,Chemicals - Bulk,Small Cap,2025-10-10,640.00,666.73,31.61,19.39,3.03,12.38,28.64,22.87,646.10,664.00,ACI,Chemicals - Bulk,Small Cap,2025-10-10,640.00,670.78,59.33,47.60,7.44,16.36,16.54,18.16,676.80,704.25
ACL,Infra - Cement,Small Cap,2025-10-10,83.83,85.14,44.20,2.36,2.82,34.75,41.80,21.02,85.55,85.57,ACL,Infra - Cement,Small Cap,2025-10-10,83.83,82.97,62.11,7.82,9.33,31.69,14.14,47.02,80.71,85.73
ACLGATI,Transport - Logistics,Small Cap,2025-10-10,58.72,59.23,37.77,1.60,2.73,18.95,20.73,12.44,58.22,58.49,ACLGATI,Transport - Logistics,Small Cap,2025-10-10,58.72,61.49,51.95,4.11,7.00,15.66,17.70,22.93,60.14,61.60
ADANIENSOL,Power - Misc,Large Cap,2025-10-10,925.85,909.44,64.70,24.65,2.66,36.95,14.40,37.83,931.95,938.80,ADANIENSOL,Power - Misc,Large Cap,2025-10-10,925.85,860.40,73.84,53.00,5.72,31.21,15.55,18.80,916.35,920.00
ACUTAAS,Healthcare - Pharma,Small Cap,2025-10-10,1467.50,1413.76,61.40,45.43,3.10,25.76,17.19,24.90,1421.40,1435.90,ACUTAAS,Healthcare - Pharma,Small Cap,2025-10-10,1467.50,1383.49,54.77,97.48,6.64,24.41,10.15,46.90,1386.70,1399.10
ADANIGREEN,Power - Green,Large Cap,2025-10-10,1064.30,1055.65,57.82,31.13,2.92,32.54,20.65,27.44,1051.50,1055.80,ADANIGREEN,Power - Green,Large Cap,2025-10-10,1064.30,1010.46,71.28,66.59,6.26,31.64,11.17,35.83,1070.30,1078.80
ADANIPORTS,Infra - Construction,Large Cap,2025-10-10,1409.40,1404.77,54.70,23.33,1.66,23.87,20.87,19.89,1395.60,1399.80,ADANIPORTS,Infra - Construction,Large Cap,2025-10-10,1409.40,1385.64,70.77,60.16,4.27,22.80,12.72,31.97,1419.10,1431.00
ADANIENT,Metals - Misc,Large Cap,2025-10-10,2550.90,2547.65,57.14,57.65,2.26,23.99,20.54,25.90,2542.40,2559.00,ADANIENT,Metals - Misc,Large Cap,2025-10-10,2550.90,2467.75,64.72,133.75,5.24,26.76,17.69,23.12,2589.90,2612.90
ADANIPOWER,Power - Misc,Large Cap,2025-10-10,149.70,148.87,58.09,6.52,4.36,31.93,22.27,28.53,148.91,149.98,ADANIPOWER,Power - Misc,Large Cap,2025-10-10,149.70,134.66,86.08,9.71,6.48,47.07,4.89,43.42,147.38,153.30
ADFFOODS,Consumption - Misc,Small Cap,2025-10-10,202.50,212.28,30.43,7.17,3.54,9.91,28.15,22.39,205.99,209.65,ADFFOODS,Consumption - Misc,Small Cap,2025-10-10,202.50,224.91,48.94,18.12,8.95,16.44,26.51,23.56,217.49,225.01
ADOR,Engineering,Small Cap,2025-10-10,1028.50,1008.42,60.31,31.05,3.02,32.61,11.57,23.97,1010.95,1014.40,ADOR,Engineering,Small Cap,2025-10-10,1028.50,996.86,58.55,71.30,6.93,25.37,12.09,33.45,1023.75,1037.00
ADL,Infra - Laminates,Small Cap,2025-10-10,90.97,88.27,57.97,7.09,7.79,32.30,6.52,27.11,93.51,105.40,ADL,Infra - Laminates,Small Cap,2025-10-10,90.97,87.98,78.21,11.30,12.42,25.05,6.91,27.36,87.00,89.89
ADSL,IT - Services,Small Cap,2025-10-10,190.42,190.65,55.48,7.95,4.18,29.63,19.70,27.02,190.86,195.46,ADSL,IT - Services,Small Cap,2025-10-10,190.42,180.67,58.75,16.12,8.47,28.42,11.73,19.69,196.87,198.99
ADVENZYMES,Healthcare - Biotech,Small Cap,2025-10-10,306.50,318.45,32.18,9.90,3.23,15.23,26.36,25.20,309.75,315.85,ADVENZYMES,Healthcare - Biotech,Small Cap,2025-10-10,306.50,324.73,55.80,24.00,7.83,23.07,14.62,49.08,330.80,334.45
ADVANIHOTR,Leisure - Hotels,Small Cap,2025-10-10,59.88,59.32,51.69,1.67,2.78,22.74,10.12,23.57,60.07,60.50,ADVANIHOTR,Leisure - Hotels,Small Cap,2025-10-10,59.88,60.01,61.07,3.50,5.84,19.92,12.80,28.03,59.71,60.28
AEGISLOG,Utility - Gas,Small Cap,2025-10-10,812.50,803.45,57.23,35.40,4.36,33.10,11.58,34.37,805.90,817.55,AEGISLOG,Utility - Gas,Small Cap,2025-10-10,812.50,770.75,60.96,65.36,8.04,29.94,7.74,27.61,881.15,944.60
AEROENTER,Metals - Iron & Steel,Small Cap,2025-10-10,88.64,88.11,51.06,3.36,3.79,18.95,15.65,25.09,89.20,90.55,AEROENTER,Metals - Iron & Steel,Small Cap,2025-10-10,88.64,90.35,46.66,10.79,12.17,8.29,8.60,17.98,92.69,93.99
