Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ANANDRATHI,2025-11-11,3064.6,0.0,0.0,
ANANDRATHI,2025-11-11,3080.0,1.23,0.25,100.0
ANANDRATHI,2025-11-12,3074.7,1.75,0.55,97.42
ANANDRATHI,2025-11-12,3097.7,3.98,1.23,97.7
ANANDRATHI,2025-11-13,3046.0,1.56,1.3,77.51
ANANDRATHI,2025-11-13,3062.0,0.91,1.22,78.96
ANANDRATHI,2025-11-14,3053.0,-0.32,0.91,76.0
ANANDRATHI,2025-11-14,3020.2,-3.89,-0.05,66.23
ANANDRATHI,2025-11-17,3044.1,-4.75,-0.99,69.33
ANANDRATHI,2025-11-17,3034.9,-6.09,-2.01,66.79
ANANDRATHI,2025-11-18,2984.0,-11.14,-3.83,54.84
ANANDRATHI,2025-11-18,2948.9,-17.77,-6.62,48.41
ANANDRATHI,2025-11-19,2924.2,-24.73,-10.24,44.46
ANANDRATHI,2025-11-19,2932.2,-29.26,-14.05,45.99
ANANDRATHI,2025-11-20,2889.8,-35.86,-18.41,39.72
ANANDRATHI,2025-11-20,2868.0,-42.36,-23.2,36.93
ANANDRATHI,2025-11-21,2887.7,-45.4,-27.64,40.96
ANANDRATHI,2025-11-21,2844.9,-50.68,-32.25,35.63
ANANDRATHI,2025-11-24,2860.3,-53.01,-36.4,38.72
ANANDRATHI,2025-11-24,2825.1,-57.04,-40.53,34.63
ANANDRATHI,2025-11-25,2892.0,-54.21,-43.26,46.26
ANANDRATHI,2025-11-25,2888.8,-51.63,-44.94,45.84
ANANDRATHI,2025-11-26,2886.0,-49.24,-45.8,45.45
ANANDRATHI,2025-11-26,2890.0,-46.49,-45.94,46.15
ANANDRATHI,2025-11-27,2878.2,-44.75,-45.7,44.34
ANANDRATHI,2025-11-27,2889.6,-41.96,-44.95,46.52
ANANDRATHI,2025-11-28,2881.2,-39.97,-43.96,45.12
ANANDRATHI,2025-11-28,2888.9,-37.34,-42.63,46.71
ANANDRATHI,2025-12-01,2929.9,-31.59,-40.42,54.31
ANANDRATHI,2025-12-01,2920.0,-27.51,-37.84,52.36
ANANDRATHI,2025-12-02,2911.2,-24.7,-35.21,50.63
ANANDRATHI,2025-12-02,2924.9,-21.13,-32.4,53.23
ANANDRATHI,2025-12-03,2913.2,-19.02,-29.72,50.77
ANANDRATHI,2025-12-03,2909.4,-17.45,-27.27,49.97
ANANDRATHI,2025-12-04,2905.2,-16.36,-25.09,49.04
ANANDRATHI,2025-12-04,2934.2,-13.01,-22.67,55.21
ANANDRATHI,2025-12-05,2889.0,-13.84,-20.9,45.88
ANANDRATHI,2025-12-05,2897.9,-13.62,-19.45,47.76
ANANDRATHI,2025-12-08,2861.8,-16.18,-18.79,41.49
ANANDRATHI,2025-12-08,2871.0,-17.26,-18.49,43.52
ANANDRATHI,2025-12-09,2834.6,-20.81,-18.95,37.9
ANANDRATHI,2025-12-09,2868.0,-20.7,-19.3,44.93
ANANDRATHI,2025-12-10,2878.9,-19.5,-19.34,47.03
ANANDRATHI,2025-12-10,2869.6,-19.08,-19.29,45.44
ANANDRATHI,2025-12-11,2885.6,-17.26,-18.88,48.66
ANANDRATHI,2025-12-11,2880.8,-16.02,-18.31,47.75
ANANDRATHI,2025-12-12,2931.1,-10.86,-16.82,56.88
ANANDRATHI,2025-12-12,2939.0,-6.05,-14.67,58.12
ANANDRATHI,2025-12-15,2952.6,-1.14,-11.96,60.23
ANANDRATHI,2025-12-15,2990.0,5.71,-8.43,65.41
ANANDRATHI,2025-12-16,2994.2,11.35,-4.47,65.94
ANANDRATHI,2025-12-16,2992.4,15.49,-0.48,65.47
ANANDRATHI,2025-12-17,2978.2,17.43,3.1,61.75
ANANDRATHI,2025-12-17,2989.6,19.65,6.41,63.54
ANANDRATHI,2025-12-18,2993.6,21.49,9.43,64.18
ANANDRATHI,2025-12-18,2993.0,22.64,12.07,64.0
ANANDRATHI,2025-12-19,2980.4,22.28,14.11,60.18
ANANDRATHI,2025-12-19,3003.2,23.56,16.0,64.33
ANANDRATHI,2025-12-22,3017.0,25.4,17.88,66.59
BOSCHLTD,2025-11-11,36680.0,0.0,0.0,
BOSCHLTD,2025-11-11,36635.0,-3.59,-0.72,0.0
BOSCHLTD,2025-11-12,36400.0,-25.11,-5.6,0.0
BOSCHLTD,2025-11-12,37255.0,26.52,0.83,52.89
BOSCHLTD,2025-11-13,37285.0,69.07,14.48,53.82
BOSCHLTD,2025-11-13,37385.0,109.59,33.5,56.85
BOSCHLTD,2025-11-14,36800.0,93.42,45.48,40.21
BOSCHLTD,2025-11-14,36955.0,92.06,54.8,44.82
BOSCHLTD,2025-11-17,37305.0,117.86,67.41,53.53
BOSCHLTD,2025-11-17,37450.0,148.29,83.59,56.59
BOSCHLTD,2025-11-18,36990.0,133.76,93.62,46.2
BOSCHLTD,2025-11-18,37045.0,125.23,99.94,47.44
BOSCHLTD,2025-11-19,36765.0,94.79,98.91,42.11
BOSCHLTD,2025-11-19,36870.0,78.23,94.77,44.62
BOSCHLTD,2025-11-20,36985.0,73.54,90.53,47.32
BOSCHLTD,2025-11-20,37050.0,74.21,87.26,48.84
BOSCHLTD,2025-11-21,36660.0,42.78,78.37,41.18
BOSCHLTD,2025-11-21,36465.0,2.12,63.12,37.97
BOSCHLTD,2025-11-24,36175.0,-52.9,39.91,33.76
BOSCHLTD,2025-11-24,36220.0,-91.82,13.57,34.96
BOSCHLTD,2025-11-25,35825.0,-152.77,-19.7,29.83
BOSCHLTD,2025-11-25,35770.0,-203.17,-56.39,29.19
BOSCHLTD,2025-11-26,36325.0,-196.07,-84.33,42.62
BOSCHLTD,2025-11-26,36485.0,-175.51,-102.56,45.81
BOSCHLTD,2025-11-27,36075.0,-190.1,-120.07,39.71
BOSCHLTD,2025-11-27,36320.0,-179.83,-132.02,44.47
BOSCHLTD,2025-11-28,36205.0,-178.91,-141.4,42.76
BOSCHLTD,2025-11-28,36110.0,-183.72,-149.86,41.35
BOSCHLTD,2025-12-01,36270.0,-172.63,-154.42,44.66
BOSCHLTD,2025-12-01,36335.0,-156.8,-154.89,46.0
BOSCHLTD,2025-12-02,36710.0,-112.69,-146.45,53.03
BOSCHLTD,2025-12-02,36660.0,-80.83,-133.33,52.06
BOSCHLTD,2025-12-03,36440.0,-72.51,-121.16,47.89
BOSCHLTD,2025-12-03,36580.0,-53.99,-107.73,50.6
BOSCHLTD,2025-12-04,36930.0,-10.94,-88.37,56.66
BOSCHLTD,2025-12-04,36845.0,16.13,-67.47,54.9
BOSCHLTD,2025-12-05,36850.0,37.55,-46.47,54.99
BOSCHLTD,2025-12-05,36850.0,53.91,-26.39,54.99
BOSCHLTD,2025-12-08,36740.0,57.33,-9.65,52.36
BOSCHLTD,2025-12-08,36595.0,47.8,1.84,49.04
BOSCHLTD,2025-12-09,36725.0,50.15,11.5,51.98
BOSCHLTD,2025-12-09,36780.0,55.81,20.36,53.21
BOSCHLTD,2025-12-10,36555.0,41.66,24.62,47.81
BOSCHLTD,2025-12-10,36440.0,20.93,23.88,45.28
BOSCHLTD,2025-12-11,36920.0,42.73,27.65,55.8
BOSCHLTD,2025-12-11,36880.0,56.14,33.35,54.85
BOSCHLTD,2025-12-12,36400.0,27.71,32.22,44.99
BOSCHLTD,2025-12-12,36715.0,30.26,31.83,51.19
BOSCHLTD,2025-12-15,36490.0,13.95,28.25,47.11
BOSCHLTD,2025-12-15,36400.0,-6.16,21.37,45.54
BOSCHLTD,2025-12-16,36170.0,-40.19,9.06,41.73
BOSCHLTD,2025-12-16,36230.0,-61.61,-5.08,43.07
BOSCHLTD,2025-12-17,35950.0,-100.03,-24.07,38.6
BOSCHLTD,2025-12-17,35975.0,-126.99,-44.65,39.21
BOSCHLTD,2025-12-18,35710.0,-167.81,-69.28,35.24
BOSCHLTD,2025-12-18,35720.0,-197.08,-94.84,35.51
BOSCHLTD,2025-12-19,35710.0,-218.57,-119.59,35.35
BOSCHLTD,2025-12-19,35940.0,-214.56,-138.58,41.69
BOSCHLTD,2025-12-22,36100.0,-196.21,-150.11,45.69
CARTRADE,2025-11-11,2964.0,0.0,0.0,
CARTRADE,2025-11-11,3000.6,2.92,0.58,100.0
CARTRADE,2025-11-12,3166.9,18.44,4.16,100.0
CARTRADE,2025-11-12,3177.1,31.2,9.56,100.0
CARTRADE,2025-11-13,3172.0,40.44,15.74,99.1
CARTRADE,2025-11-13,3189.9,48.64,22.32,99.13
CARTRADE,2025-11-14,3101.7,47.48,27.35,84.43
CARTRADE,2025-11-14,3068.5,43.38,30.56,79.64
CARTRADE,2025-11-17,3209.1,50.89,34.63,83.83
CARTRADE,2025-11-17,3270.0,61.05,39.91,85.24
CARTRADE,2025-11-18,3203.6,63.02,44.53,77.3
CARTRADE,2025-11-18,3170.0,61.17,47.86,73.57
CARTRADE,2025-11-19,3094.6,53.0,48.89,65.88
CARTRADE,2025-11-19,3125.0,48.42,48.79,67.36
CARTRADE,2025-11-20,3089.5,41.45,47.33,63.87
CARTRADE,2025-11-20,3095.0,35.96,45.05,64.18
CARTRADE,2025-11-21,3047.9,27.49,41.54,59.48
CARTRADE,2025-11-21,3024.8,18.69,36.97,57.27
CARTRADE,2025-11-24,3123.4,19.46,33.47,63.51
CARTRADE,2025-11-24,3063.7,15.07,29.79,57.99
CARTRADE,2025-11-25,3063.0,11.41,26.11,57.92
CARTRADE,2025-11-25,3083.9,10.07,22.9,59.36
CARTRADE,2025-11-26,3166.2,15.48,21.42,64.49
CARTRADE,2025-11-26,3185.0,21.04,21.34,65.56
CARTRADE,2025-11-27,3049.5,14.34,19.94,53.14
CARTRADE,2025-11-27,3064.0,10.09,17.97,54.14
CARTRADE,2025-11-28,3133.4,12.18,16.81,58.69
CARTRADE,2025-11-28,3090.0,10.22,15.5,55.01
CARTRADE,2025-12-01,3075.0,7.37,13.87,53.76
CARTRADE,2025-12-01,3055.2,3.47,11.79,52.07
CARTRADE,2025-12-02,2993.2,-4.57,8.52,47.09
CARTRADE,2025-12-02,2991.0,-10.99,4.62,46.92
CARTRADE,2025-12-03,3041.0,-11.91,1.31,51.26
CARTRADE,2025-12-03,3098.0,-7.94,-0.54,55.71
