Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ANANDRATHI,2025-09-23,2973.0,0.0,0.0,
ANANDRATHI,2025-09-24,2882.4,-7.23,-1.45,0.0
ANANDRATHI,2025-09-25,2874.4,-13.45,-3.85,0.0
ANANDRATHI,2025-09-26,2866.7,-18.78,-6.83,0.0
ANANDRATHI,2025-09-29,2811.8,-27.12,-10.89,0.0
ANANDRATHI,2025-09-30,2826.8,-32.15,-15.14,1.47
ANANDRATHI,2025-10-01,2887.1,-30.92,-18.3,7.35
ANANDRATHI,2025-10-03,2872.4,-30.77,-20.79,7.24
ANANDRATHI,2025-10-06,2922.0,-26.35,-21.9,12.17
ANANDRATHI,2025-10-07,2914.2,-23.21,-22.16,12.06
ANANDRATHI,2025-10-08,2990.6,-14.38,-20.61,19.62
ANANDRATHI,2025-10-09,2951.7,-10.41,-18.57,18.74
ANANDRATHI,2025-10-10,2956.1,-6.83,-16.22,19.18
ANANDRATHI,2025-10-13,2934.9,-5.64,-14.1,18.65
ANANDRATHI,2025-10-14,3163.2,13.57,-8.57,38.34
ANANDRATHI,2025-10-15,3130.9,25.89,-1.68,36.97
ANANDRATHI,2025-10-16,3103.2,33.04,5.27,35.8
ANANDRATHI,2025-10-17,3125.1,40.01,12.22,37.49
ANANDRATHI,2025-10-20,3202.3,51.17,20.01,43.17
ANANDRATHI,2025-10-21,3191.1,58.44,27.69,42.57
ANANDRATHI,2025-10-23,3108.3,56.87,33.53,38.3
ANANDRATHI,2025-10-24,3113.4,55.39,37.9,38.71
ANANDRATHI,2025-10-27,3226.0,62.59,42.84,47.03
ANANDRATHI,2025-10-28,3184.4,64.19,47.11,44.62
ANANDRATHI,2025-10-29,3086.4,56.9,49.07,39.48
ANANDRATHI,2025-10-30,3139.4,54.77,50.21,43.29
ANANDRATHI,2025-10-31,3088.4,48.41,49.85,40.64
ANANDRATHI,2025-11-03,3099.1,43.72,48.62,41.45
ANANDRATHI,2025-11-04,3119.6,41.19,47.14,43.05
ANANDRATHI,2025-11-05,3119.6,38.73,45.46,43.05
ANANDRATHI,2025-11-06,3104.4,35.16,43.4,42.06
ANANDRATHI,2025-11-07,3121.5,33.32,41.38,43.63
ANANDRATHI,2025-11-10,3121.3,31.48,39.4,43.62
ANANDRATHI,2025-11-11,3084.9,26.78,36.88,40.88
ANANDRATHI,2025-11-12,3097.7,23.82,34.27,42.25
ANANDRATHI,2025-11-13,3073.8,19.31,31.27,40.37
ANANDRATHI,2025-11-14,3022.3,11.46,27.31,36.59
ANANDRATHI,2025-11-17,3034.9,6.18,23.08,38.12
ANANDRATHI,2025-11-18,2945.6,-5.16,17.44,32.2
ANANDRATHI,2025-11-19,2941.5,-14.3,11.09,31.96
ANANDRATHI,2025-11-20,2870.4,-26.98,3.48,27.98
ANANDRATHI,2025-11-21,2855.9,-37.76,-4.77,27.23
ANANDRATHI,2025-11-24,2864.8,-45.06,-12.83,28.49
ANANDRATHI,2025-11-25,2888.8,-48.36,-19.93,31.91
ANANDRATHI,2025-11-26,2895.6,-49.84,-25.92,32.89
ANANDRATHI,2025-11-27,2889.6,-50.92,-30.92,32.44
ANANDRATHI,2025-11-28,2888.9,-51.24,-34.98,32.39
ANANDRATHI,2025-12-01,2924.9,-48.03,-37.59,38.18
ANANDRATHI,2025-12-02,2924.8,-44.98,-39.07,38.17
ANANDRATHI,2025-12-03,2909.0,-43.34,-39.92,36.58
ANANDRATHI,2025-12-04,2934.2,-39.55,-39.85,40.82
ANANDRATHI,2025-12-05,2897.9,-39.02,-39.68,36.98
ANANDRATHI,2025-12-08,2839.5,-42.83,-40.31,31.8
ANANDRATHI,2025-12-09,2868.0,-43.04,-40.86,36.48
ANANDRATHI,2025-12-10,2869.6,-42.6,-41.21,36.74
ANANDRATHI,2025-12-11,2884.5,-40.57,-41.08,39.26
ANANDRATHI,2025-12-12,2939.0,-34.18,-39.7,47.48
ANANDRATHI,2025-12-15,2981.3,-25.4,-36.84,52.82
ANANDRATHI,2025-12-16,2992.4,-17.35,-32.94,54.14
ANANDRATHI,2025-12-17,2989.6,-11.07,-28.57,53.73
ANANDRATHI,2025-12-18,2990.4,-5.96,-24.05,53.84
ANANDRATHI,2025-12-19,3003.2,-0.86,-19.41,55.61
ANANDRATHI,2025-12-22,2998.7,2.78,-14.97,54.81
ANANDRATHI,2025-12-23,3030.5,8.14,-10.35,59.25
BOSCHLTD,2025-09-23,39390.0,0.0,0.0,
BOSCHLTD,2025-09-24,38760.0,-50.26,-10.05,0.0
BOSCHLTD,2025-09-25,38525.0,-107.8,-29.6,0.0
BOSCHLTD,2025-09-26,38150.0,-181.58,-60.0,0.0
BOSCHLTD,2025-09-29,38345.0,-221.75,-92.35,2.5
BOSCHLTD,2025-09-30,38145.0,-266.66,-127.21,2.43
BOSCHLTD,2025-10-01,38320.0,-284.84,-158.74,4.84
BOSCHLTD,2025-10-03,38630.0,-271.11,-181.21,9.12
BOSCHLTD,2025-10-06,38800.0,-243.7,-193.71,11.47
BOSCHLTD,2025-10-07,38770.0,-221.84,-199.34,11.41
BOSCHLTD,2025-10-08,38350.0,-235.69,-206.61,10.63
BOSCHLTD,2025-10-09,38465.0,-234.69,-212.22,12.4
BOSCHLTD,2025-10-10,38625.0,-218.46,-213.47,14.93
BOSCHLTD,2025-10-13,38535.0,-210.43,-212.86,14.67
BOSCHLTD,2025-10-14,38010.0,-243.63,-219.02,13.24
BOSCHLTD,2025-10-15,38380.0,-237.35,-222.68,19.22
BOSCHLTD,2025-10-16,38510.0,-219.35,-222.02,21.27
BOSCHLTD,2025-10-17,38755.0,-183.2,-214.25,25.13
BOSCHLTD,2025-10-20,39215.0,-116.1,-194.62,31.89
BOSCHLTD,2025-10-21,39200.0,-63.4,-168.38,31.78
BOSCHLTD,2025-10-23,38920.0,-43.73,-143.45,29.89
BOSCHLTD,2025-10-24,38585.0,-54.54,-125.67,27.75
BOSCHLTD,2025-10-27,39005.0,-28.88,-106.31,34.11
BOSCHLTD,2025-10-28,38540.0,-45.55,-94.16,30.87
BOSCHLTD,2025-10-29,37380.0,-150.62,-105.45,24.6
BOSCHLTD,2025-10-30,37210.0,-244.78,-133.32,23.83
BOSCHLTD,2025-10-31,37245.0,-312.98,-169.25,24.36
BOSCHLTD,2025-11-03,37025.0,-380.39,-211.48,23.28
BOSCHLTD,2025-11-04,37850.0,-363.06,-241.79,34.91
BOSCHLTD,2025-11-06,37020.0,-411.56,-275.75,29.98
BOSCHLTD,2025-11-07,36810.0,-461.61,-312.92,28.87
BOSCHLTD,2025-11-10,37280.0,-458.08,-341.95,34.7
BOSCHLTD,2025-11-11,36680.0,-497.95,-373.15,31.19
BOSCHLTD,2025-11-12,37255.0,-477.65,-394.05,37.7
BOSCHLTD,2025-11-13,37385.0,-445.93,-404.43,39.1
BOSCHLTD,2025-11-14,36955.0,-450.29,-413.6,36.2
BOSCHLTD,2025-11-17,37450.0,-409.1,-412.7,41.57
BOSCHLTD,2025-11-18,37045.0,-404.47,-411.05,38.7
BOSCHLTD,2025-11-19,36870.0,-410.19,-410.88,37.49
BOSCHLTD,2025-11-20,37050.0,-395.64,-407.83,39.58
BOSCHLTD,2025-11-21,36500.0,-423.6,-410.99,35.66
BOSCHLTD,2025-11-24,36200.0,-464.62,-421.71,33.71
BOSCHLTD,2025-11-25,35770.0,-525.76,-442.52,31.07
BOSCHLTD,2025-11-26,36485.0,-510.64,-456.15,39.53
BOSCHLTD,2025-11-27,36320.0,-506.13,-466.14,38.36
BOSCHLTD,2025-11-28,36110.0,-513.58,-475.63,36.87
BOSCHLTD,2025-12-01,36335.0,-495.62,-479.63,39.59
BOSCHLTD,2025-12-02,36660.0,-449.97,-473.7,43.38
BOSCHLTD,2025-12-03,36580.0,-415.46,-462.05,42.67
BOSCHLTD,2025-12-04,36845.0,-362.55,-442.15,45.83
BOSCHLTD,2025-12-05,36920.0,-310.98,-415.92,46.73
BOSCHLTD,2025-12-08,36595.0,-292.96,-391.32,43.38
BOSCHLTD,2025-12-09,36780.0,-260.74,-365.21,45.76
BOSCHLTD,2025-12-10,36400.0,-262.85,-344.74,41.87
BOSCHLTD,2025-12-11,36880.0,-223.21,-320.43,47.9
BOSCHLTD,2025-12-12,36715.0,-202.77,-296.9,46.13
BOSCHLTD,2025-12-15,36400.0,-209.57,-279.43,42.87
BOSCHLTD,2025-12-16,36230.0,-226.08,-268.76,41.17
BOSCHLTD,2025-12-17,35975.0,-256.77,-266.36,38.71
BOSCHLTD,2025-12-18,35720.0,-298.24,-272.74,36.36
BOSCHLTD,2025-12-19,35940.0,-309.78,-280.15,39.75
BOSCHLTD,2025-12-22,36160.0,-297.74,-283.67,43.03
BOSCHLTD,2025-12-23,36305.0,-273.35,-281.6,45.14
CARTRADE,2025-09-23,2404.8,0.0,0.0,
CARTRADE,2025-09-24,2493.0,7.04,1.41,100.0
CARTRADE,2025-09-25,2454.3,9.38,3.0,96.74
CARTRADE,2025-09-26,2434.1,9.5,4.3,94.99
CARTRADE,2025-09-29,2500.4,14.77,6.4,95.29
CARTRADE,2025-09-30,2450.1,14.72,8.06,90.85
CARTRADE,2025-10-01,2443.8,14.02,9.25,90.28
CARTRADE,2025-10-03,2497.8,17.61,10.92,90.81
CARTRADE,2025-10-06,2493.9,19.91,12.72,90.43
CARTRADE,2025-10-07,2462.8,19.01,13.98,87.26
CARTRADE,2025-10-08,2492.0,20.41,15.27,87.69
CARTRADE,2025-10-09,2475.0,19.93,16.2,85.85
CARTRADE,2025-10-10,2444.8,16.91,16.34,82.54
CARTRADE,2025-10-13,2498.5,18.63,16.8,83.74
CARTRADE,2025-10-14,2466.8,17.24,16.89,80.23
CARTRADE,2025-10-15,2487.8,17.63,17.04,80.8
CARTRADE,2025-10-16,2489.2,17.85,17.2,80.84
CARTRADE,2025-10-17,2457.6,15.3,16.82,76.95
