Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ANANDRATHI,2022-12-30,350.77,0.0,0.0,
ANANDRATHI,2023-01-31,416.25,5.22,1.04,100.0
ANANDRATHI,2023-02-28,376.05,6.05,2.05,95.49
ANANDRATHI,2023-03-31,403.85,8.85,3.41,95.64
ANANDRATHI,2023-04-28,431.77,13.16,5.36,95.79
ANANDRATHI,2023-05-31,430.08,16.26,7.54,95.57
ANANDRATHI,2023-06-30,432.98,18.73,9.78,95.59
ANANDRATHI,2023-07-31,581.7,32.32,14.29,96.4
ANANDRATHI,2023-08-31,713.25,53.09,22.05,96.93
ANANDRATHI,2023-09-29,840.4,78.9,33.42,97.35
ANANDRATHI,2023-10-31,954.55,107.33,48.2,97.65
ANANDRATHI,2023-11-30,1297.75,155.76,69.71,98.29
ANANDRATHI,2023-12-29,1296.85,191.86,94.14,98.21
ANANDRATHI,2024-01-31,1529.12,236.48,122.61,98.52
ANANDRATHI,2024-02-29,1828.4,292.62,156.61,98.81
ANANDRATHI,2024-03-29,1847.18,334.77,192.24,98.83
ANANDRATHI,2024-04-30,1999.12,376.09,229.01,98.95
ANANDRATHI,2024-05-31,2097.7,412.05,265.62,99.02
ANANDRATHI,2024-06-28,1953.93,424.06,297.31,89.65
ANANDRATHI,2024-07-31,1889.18,423.47,322.54,85.71
ANANDRATHI,2024-08-30,1906.9,419.59,341.95,85.9
ANANDRATHI,2024-09-30,1962.68,416.22,356.81,86.48
ANANDRATHI,2024-10-31,2062.98,416.84,368.81,87.49
ANANDRATHI,2024-11-29,2078.02,413.78,377.81,87.63
ANANDRATHI,2024-12-31,1972.03,398.21,381.89,80.39
ANANDRATHI,2025-01-31,1831.1,370.22,379.55,71.89
ANANDRATHI,2025-02-28,2000.53,357.6,375.16,75.28
ANANDRATHI,2025-03-31,1912.2,336.59,367.45,70.51
ANANDRATHI,2025-04-30,1701.8,299.5,353.86,60.65
ANANDRATHI,2025-05-30,1876.5,280.97,339.28,65.02
ANANDRATHI,2025-06-30,2159.7,285.84,328.59,70.71
ANANDRATHI,2025-07-31,2645.6,325.16,327.91,77.47
ANANDRATHI,2025-08-29,2793.9,364.09,335.14,79.06
ANANDRATHI,2025-09-30,2826.8,393.07,346.73,79.41
ANANDRATHI,2025-10-31,3088.4,432.16,363.82,81.96
ANANDRATHI,2025-11-28,2888.9,441.95,379.44,74.37
ANANDRATHI,2025-12-31,3030.5,455.88,394.73,76.07
BOSCHLTD,2022-12-30,17264.2,0.0,0.0,
BOSCHLTD,2023-01-31,17028.6,-18.79,-3.76,0.0
BOSCHLTD,2023-02-28,17996.25,43.89,5.77,24.01
BOSCHLTD,2023-03-31,19369.9,202.07,45.03,44.41
BOSCHLTD,2023-04-28,19371.85,323.86,100.8,44.43
BOSCHLTD,2023-05-31,18568.4,351.5,150.94,37.59
BOSCHLTD,2023-06-30,19042.35,406.95,202.14,43.15
BOSCHLTD,2023-07-31,18970.3,440.01,249.71,42.53
BOSCHLTD,2023-08-31,18573.85,429.28,285.63,39.19
BOSCHLTD,2023-09-29,19019.7,451.54,318.81,44.47
BOSCHLTD,2023-10-31,19450.95,498.24,354.69,49.08
