Symbol,Date,Close,MACD_Fast,MACD_Slow,RSI
ANANDRATHI,2023-12-29,1296.85,0.0,0.0,
ANANDRATHI,2024-01-05,1350.38,4.27,0.85,100.0
ANANDRATHI,2024-01-12,1407.57,12.13,3.11,100.0
ANANDRATHI,2024-01-19,1389.22,16.68,5.82,97.44
ANANDRATHI,2024-01-26,1521.1,30.58,10.78,97.87
ANANDRATHI,2024-02-02,1642.85,50.84,18.79,98.17
ANANDRATHI,2024-02-09,1708.15,71.34,29.3,98.3
ANANDRATHI,2024-02-16,1823.07,95.75,42.59,98.52
ANANDRATHI,2024-02-23,1844.75,115.52,57.17,98.55
ANANDRATHI,2024-03-01,1854.95,130.5,71.84,98.57
ANANDRATHI,2024-03-08,1974.25,150.27,87.52,98.76
ANANDRATHI,2024-03-15,1788.12,149.2,99.86,80.51
ANANDRATHI,2024-03-22,1817.8,149.02,109.69,81.11
ANANDRATHI,2024-03-29,1847.18,149.53,117.66,81.71
ANANDRATHI,2024-04-05,1815.43,145.7,123.27,78.79
ANANDRATHI,2024-04-12,2004.53,156.11,129.84,82.74
ANANDRATHI,2024-04-19,2085.6,168.97,137.66,84.1
ANANDRATHI,2024-04-26,1979.5,168.64,143.86,75.67
ANANDRATHI,2024-05-03,1998.7,168.0,148.69,76.13
ANANDRATHI,2024-05-10,1977.45,163.89,151.73,74.43
ANANDRATHI,2024-05-17,1975.93,158.68,153.12,74.3
ANANDRATHI,2024-05-24,2034.75,157.48,153.99,76.02
ANANDRATHI,2024-05-31,2097.7,159.77,155.15,77.74
ANANDRATHI,2024-06-07,1953.38,148.23,153.76,66.07
ANANDRATHI,2024-06-14,1997.82,141.04,151.22,67.68
ANANDRATHI,2024-06-21,1968.32,131.45,147.26,65.46
ANANDRATHI,2024-06-28,1953.93,121.29,142.07,64.35
ANANDRATHI,2024-07-05,2005.12,116.03,136.86,66.52
ANANDRATHI,2024-07-12,1997.75,110.0,131.49,65.9
ANANDRATHI,2024-07-19,1906.9,96.77,124.55,58.62
ANANDRATHI,2024-07-26,1846.5,80.49,115.73,54.33
ANANDRATHI,2024-08-02,1856.12,67.58,106.1,54.89
ANANDRATHI,2024-08-09,1812.15,53.19,95.52,51.73
ANANDRATHI,2024-08-16,1801.05,40.43,84.5,50.93
ANANDRATHI,2024-08-23,1802.68,30.1,73.62,51.05
ANANDRATHI,2024-08-30,1906.9,29.97,64.89,58.07
ANANDRATHI,2024-09-06,1959.7,33.74,58.66,61.12
ANANDRATHI,2024-09-13,1959.5,36.3,54.19,61.1
ANANDRATHI,2024-09-20,1949.75,37.11,50.77,60.16
ANANDRATHI,2024-09-27,1937.5,36.34,47.89,58.94
ANANDRATHI,2024-10-04,1955.22,36.75,45.66,60.2
ANANDRATHI,2024-10-11,2020.93,41.88,44.9,64.54
ANANDRATHI,2024-10-18,2143.15,55.18,46.96,70.89
ANANDRATHI,2024-10-25,1998.12,53.4,48.25,57.68
ANANDRATHI,2024-11-01,2077.05,57.69,50.14,61.85
ANANDRATHI,2024-11-08,1956.15,50.75,50.26,53.21
ANANDRATHI,2024-11-15,1942.03,43.61,48.93,52.29
ANANDRATHI,2024-11-22,1989.07,41.27,47.4,55.07
ANANDRATHI,2024-11-29,2078.02,46.06,47.13,59.84
ANANDRATHI,2024-12-06,2153.6,55.32,48.77,63.4
ANANDRATHI,2024-12-13,2134.1,60.39,51.09,61.88
ANANDRATHI,2024-12-20,2031.3,55.47,51.97,54.45
ANANDRATHI,2024-12-27,1993.88,48.0,51.18,52.01
ANANDRATHI,2025-01-03,1979.75,40.48,49.04,51.07
ANANDRATHI,2025-01-10,2077.18,41.89,47.61,56.83
ANANDRATHI,2025-01-17,1986.0,35.25,45.14,50.81
ANANDRATHI,2025-01-24,1825.68,16.85,39.48,42.32
ANANDRATHI,2025-01-31,1831.1,2.68,32.12,42.67
ANANDRATHI,2025-02-07,1849.15,-7.01,24.29,43.88
ANANDRATHI,2025-02-14,1810.2,-17.64,15.91,41.82
ANANDRATHI,2025-02-21,2003.18,-10.36,10.65,53.49
ANANDRATHI,2025-02-28,2000.53,-4.76,7.57,53.33
ANANDRATHI,2025-03-07,1865.0,-11.13,3.83,45.86
ANANDRATHI,2025-03-14,1693.25,-29.69,-2.87,38.5
ANANDRATHI,2025-03-21,1774.75,-37.39,-9.78,43.16
ANANDRATHI,2025-03-28,1912.2,-32.03,-14.23,50.04
ANANDRATHI,2025-04-04,1792.85,-36.99,-18.78,44.95
ANANDRATHI,2025-04-11,1800.4,-39.86,-23.0,45.33
ANANDRATHI,2025-04-18,1733.9,-46.95,-27.79,42.56
ANANDRATHI,2025-04-25,1759.4,-49.94,-32.22,43.97
ANANDRATHI,2025-05-02,1720.0,-54.85,-36.74,42.24
ANANDRATHI,2025-05-09,1703.8,-59.37,-41.27,41.51
ANANDRATHI,2025-05-16,1816.3,-53.26,-43.67,48.16
ANANDRATHI,2025-05-23,1883.3,-42.52,-43.44,51.69
ANANDRATHI,2025-05-30,1876.5,-34.16,-41.58,51.31
ANANDRATHI,2025-06-06,1978.2,-19.11,-37.09,56.48
ANANDRATHI,2025-06-13,2013.1,-4.32,-30.53,58.12
ANANDRATHI,2025-06-20,2066.6,11.59,-22.11,60.58
ANANDRATHI,2025-06-27,2076.2,24.68,-12.75,61.02
ANANDRATHI,2025-07-04,2108.3,37.22,-2.76,62.53
ANANDRATHI,2025-07-11,2211.7,54.87,8.77,66.98
ANANDRATHI,2025-07-18,2621.2,100.74,27.16,78.07
ANANDRATHI,2025-07-25,2596.2,133.54,48.44,76.38
ANANDRATHI,2025-08-01,2601.1,158.1,70.37,76.49
ANANDRATHI,2025-08-08,2587.8,174.48,91.19,75.49
ANANDRATHI,2025-08-15,2710.4,195.11,111.97,78.31
ANANDRATHI,2025-08-22,2806.2,216.69,132.92,80.22
ANANDRATHI,2025-08-29,2793.9,230.14,152.36,79.26
ANANDRATHI,2025-09-05,2941.9,249.87,171.86,82.06
ANANDRATHI,2025-09-12,2977.1,265.28,190.55,82.66
ANANDRATHI,2025-09-19,3042.0,279.52,208.34,83.74
ANANDRATHI,2025-09-26,2866.7,273.5,221.37,70.89
ANANDRATHI,2025-10-03,2872.4,266.12,230.32,71.05
ANANDRATHI,2025-10-10,2956.1,263.98,237.05,73.31
ANANDRATHI,2025-10-17,3125.1,272.78,244.2,77.17
ANANDRATHI,2025-10-24,3113.4,275.63,250.49,76.35
ANANDRATHI,2025-10-31,3088.4,272.73,254.94,74.52
ANANDRATHI,2025-11-07,3121.5,269.99,257.95,75.36
ANANDRATHI,2025-11-14,3022.3,256.86,257.73,68.09
ANANDRATHI,2025-11-21,2855.9,230.36,252.25,57.98
ANANDRATHI,2025-11-28,2888.9,209.61,243.73,59.27
ANANDRATHI,2025-12-05,2897.9,191.68,233.32,59.64
ANANDRATHI,2025-12-12,2939.0,178.73,222.4,61.34
ANANDRATHI,2025-12-19,3003.2,171.67,212.25,63.9
ANANDRATHI,2025-12-26,3030.5,166.36,203.07,64.96
BOSCHLTD,2023-12-29,22203.8,0.0,0.0,
BOSCHLTD,2024-01-05,22691.65,38.92,7.78,100.0
BOSCHLTD,2024-01-12,23229.65,111.88,28.6,100.0
BOSCHLTD,2024-01-19,23184.3,164.15,55.71,99.3
BOSCHLTD,2024-01-26,22779.3,170.93,78.76,92.99
BOSCHLTD,2024-02-02,23956.75,268.22,116.65,94.15
BOSCHLTD,2024-02-09,25457.15,461.08,185.53,95.24
BOSCHLTD,2024-02-16,28329.05,836.02,315.63,96.55
BOSCHLTD,2024-02-23,28279.9,1116.33,475.77,96.06
BOSCHLTD,2024-03-01,28939.7,1375.85,655.79,96.33
BOSCHLTD,2024-03-08,29501.0,1608.29,846.29,96.55
BOSCHLTD,2024-03-15,29571.55,1777.69,1032.57,96.58
BOSCHLTD,2024-03-22,30178.7,1938.59,1213.77,96.81
BOSCHLTD,2024-03-29,30031.3,2030.8,1377.18,95.11
BOSCHLTD,2024-04-05,30792.85,2140.65,1529.87,95.55
BOSCHLTD,2024-04-12,29849.4,2127.06,1649.31,85.42
BOSCHLTD,2024-04-19,29787.0,2087.19,1736.89,84.78
BOSCHLTD,2024-04-26,28877.2,1959.6,1781.43,75.85
BOSCHLTD,2024-05-03,30093.45,1934.32,1812.01,79.03
BOSCHLTD,2024-05-10,30431.95,1919.48,1833.5,79.82
BOSCHLTD,2024-05-17,31027.75,1933.5,1853.5,81.18
BOSCHLTD,2024-05-24,30840.15,1907.49,1864.3,79.37
BOSCHLTD,2024-05-31,30393.75,1829.76,1857.39,75.09
BOSCHLTD,2024-06-07,30596.6,1764.19,1838.75,75.73
BOSCHLTD,2024-06-14,32327.8,1830.82,1837.16,80.37
BOSCHLTD,2024-06-21,32606.35,1884.37,1846.61,81.0
BOSCHLTD,2024-06-28,34084.4,2022.77,1881.84,83.94
BOSCHLTD,2024-07-05,35074.0,2187.08,1942.89,85.56
BOSCHLTD,2024-07-12,35139.05,2296.09,2013.53,85.66
BOSCHLTD,2024-07-19,34073.3,2270.31,2064.88,76.17
BOSCHLTD,2024-07-26,34917.05,2291.54,2110.22,78.23
BOSCHLTD,2024-08-02,33909.75,2201.71,2128.51,70.41
BOSCHLTD,2024-08-09,32018.7,1955.39,2093.89,58.58
BOSCHLTD,2024-08-16,31940.6,1733.89,2021.89,58.15
BOSCHLTD,2024-08-23,32600.15,1593.2,1936.15,60.79
BOSCHLTD,2024-08-30,32389.6,1448.02,1838.53,59.5
BOSCHLTD,2024-09-06,32357.3,1315.2,1733.86,59.29
BOSCHLTD,2024-09-13,34343.15,1354.57,1658.0,66.95
BOSCHLTD,2024-09-20,35686.75,1477.15,1621.83,70.94
BOSCHLTD,2024-09-27,37976.1,1738.99,1645.26,76.2
BOSCHLTD,2024-10-04,36734.5,1825.27,1681.26,68.91
BOSCHLTD,2024-10-11,38486.8,2011.85,1747.38,72.86
BOSCHLTD,2024-10-18,36800.75,2000.61,1798.03,64.39
BOSCHLTD,2024-10-25,35931.95,1899.69,1818.36,60.48
BOSCHLTD,2024-11-01,35182.15,1739.17,1802.52,57.26
BOSCHLTD,2024-11-08,35119.4,1588.57,1759.73,56.99
BOSCHLTD,2024-11-15,33862.1,1352.18,1678.22,51.65
BOSCHLTD,2024-11-22,34317.55,1187.9,1580.16,53.36
BOSCHLTD,2024-11-29,34966.2,1097.4,1483.61,55.75
BOSCHLTD,2024-12-06,36253.65,1116.69,1410.22,60.11
BOSCHLTD,2024-12-13,36469.6,1136.3,1355.44,60.81
BOSCHLTD,2024-12-20,34576.95,987.74,1281.9,52.18
BOSCHLTD,2024-12-27,34089.65,821.22,1189.76,50.21
BOSCHLTD,2025-01-03,34253.55,694.46,1090.7,50.88
BOSCHLTD,2025-01-10,31713.85,384.64,949.49,41.51
BOSCHLTD,2025-01-17,31399.8,112.47,782.09,40.52
BOSCHLTD,2025-01-24,30356.5,-185.27,588.62,37.32
BOSCHLTD,2025-01-31,28729.15,-546.26,361.64,32.96
BOSCHLTD,2025-02-07,28045.15,-877.42,113.83,31.3
BOSCHLTD,2025-02-14,27004.55,-1209.89,-150.91,28.92
BOSCHLTD,2025-02-21,27334.1,-1430.29,-406.79,30.72
BOSCHLTD,2025-02-28,26544.0,-1649.7,-655.37,28.83
BOSCHLTD,2025-03-07,27033.4,-1763.76,-877.05,31.63
BOSCHLTD,2025-03-14,26378.35,-1885.28,-1078.7,29.93
BOSCHLTD,2025-03-21,27432.25,-1874.93,-1237.94,35.89
