Symbol,Date,Open,Close,High,Low,Volume
ANANDRATHI,2025-09-22,3042.0,3033.0,3090.0,3020.1,69150
ANANDRATHI,2025-09-23,3046.0,2973.0,3046.0,2951.5,78208
ANANDRATHI,2025-09-24,2977.5,2882.4,2977.5,2850.1,103874
ANANDRATHI,2025-09-25,2882.8,2874.4,2893.9,2838.1,68346
ANANDRATHI,2025-09-26,2874.6,2866.7,2924.0,2834.1,95074
ANANDRATHI,2025-09-29,2855.5,2811.8,2855.5,2760.0,325266
ANANDRATHI,2025-09-30,2792.0,2826.8,2919.9,2792.0,258690
ANANDRATHI,2025-10-01,2829.0,2887.1,2897.5,2775.1,211183
ANANDRATHI,2025-10-03,2900.1,2872.4,2915.9,2846.0,74429
ANANDRATHI,2025-10-06,2870.0,2922.0,2934.0,2816.9,129448
ANANDRATHI,2025-10-07,2934.4,2914.2,3030.0,2899.3,200052
ANANDRATHI,2025-10-08,2914.3,2990.6,3020.0,2914.2,137431
ANANDRATHI,2025-10-09,2990.6,2951.7,2997.5,2930.0,59499
ANANDRATHI,2025-10-10,2965.7,2956.1,2990.0,2922.7,75564
ANANDRATHI,2025-10-13,2950.0,2934.9,3024.9,2905.0,222162
ANANDRATHI,2025-10-14,3046.0,3163.2,3321.4,3020.0,6829454
ANANDRATHI,2025-10-15,3169.0,3130.9,3217.9,3101.4,655066
ANANDRATHI,2025-10-16,3129.9,3103.2,3140.4,3053.0,234392
ANANDRATHI,2025-10-17,3103.3,3125.1,3216.0,3096.1,478299
ANANDRATHI,2025-10-20,3149.0,3202.3,3230.4,3127.0,541292
ANANDRATHI,2025-10-21,3224.0,3191.1,3248.0,3165.1,52729
ANANDRATHI,2025-10-23,3199.3,3108.3,3202.1,3081.1,240666
ANANDRATHI,2025-10-24,3070.3,3113.4,3124.4,3037.8,178404
ANANDRATHI,2025-10-27,3133.9,3226.0,3240.0,3132.0,414428
ANANDRATHI,2025-10-28,3224.1,3184.4,3224.1,3170.0,112048
ANANDRATHI,2025-10-29,3150.0,3086.4,3150.0,3045.0,286556
ANANDRATHI,2025-10-30,3094.8,3139.4,3165.0,3086.5,188551
ANANDRATHI,2025-10-31,3139.4,3088.4,3156.5,3081.2,119388
ANANDRATHI,2025-11-03,3111.3,3099.1,3159.9,3088.5,112898
ANANDRATHI,2025-11-04,3099.1,3119.6,3149.0,3065.0,178488
ANANDRATHI,2025-11-05,3119.6,3119.6,3119.6,3119.6,0
ANANDRATHI,2025-11-06,3141.9,3104.4,3168.0,3080.6,129581
ANANDRATHI,2025-11-07,3099.0,3121.5,3137.0,3060.6,117075
ANANDRATHI,2025-11-10,3121.5,3121.3,3150.0,3085.0,101638
ANANDRATHI,2025-11-11,3125.0,3084.9,3139.9,3040.0,151685
ANANDRATHI,2025-11-12,3098.9,3097.7,3110.5,3025.0,135318
ANANDRATHI,2025-11-13,3088.1,3073.8,3095.9,3025.0,149866
ANANDRATHI,2025-11-14,3050.0,3022.3,3084.0,3010.0,96541
ANANDRATHI,2025-11-17,3035.0,3034.9,3062.2,3020.0,88492
ANANDRATHI,2025-11-18,3049.8,2945.6,3049.8,2932.0,95073
ANANDRATHI,2025-11-19,2953.0,2941.5,2965.5,2916.0,55567
