Symbol,Date,Open,Close,High,Low,Volume
ANANDRATHI,2023-12-22,1275.0,1290.43,1298.75,1274.07,125436
ANANDRATHI,2023-12-29,1290.43,1296.85,1334.93,1250.12,855960
ANANDRATHI,2024-01-05,1307.0,1350.38,1398.95,1255.03,901160
ANANDRATHI,2024-01-12,1359.5,1407.57,1423.53,1355.05,868784
ANANDRATHI,2024-01-19,1407.57,1389.22,1407.57,1286.32,779158
ANANDRATHI,2024-01-26,1365.0,1521.1,1535.0,1351.43,641706
ANANDRATHI,2024-02-02,1550.0,1642.85,1665.0,1470.78,712800
ANANDRATHI,2024-02-09,1656.5,1708.15,1774.0,1595.05,711482
ANANDRATHI,2024-02-16,1708.15,1823.07,1829.95,1621.2,773438
ANANDRATHI,2024-02-23,1854.5,1844.75,1872.5,1816.1,523076
ANANDRATHI,2024-03-01,1859.53,1854.95,1869.97,1802.5,483208
ANANDRATHI,2024-03-08,1972.45,1974.25,2025.0,1907.8,629486
ANANDRATHI,2024-03-15,1992.1,1788.12,2001.53,1745.15,2284170
ANANDRATHI,2024-03-22,1788.55,1817.8,1872.35,1751.25,584738
ANANDRATHI,2024-03-29,1832.45,1847.18,1860.0,1720.0,284848
ANANDRATHI,2024-04-05,1874.5,1815.43,1887.5,1712.0,926256
ANANDRATHI,2024-04-12,1844.82,2004.53,2062.5,1844.8,1168546
ANANDRATHI,2024-04-19,1939.97,2085.6,2124.0,1927.97,1280000
ANANDRATHI,2024-04-26,2102.4,1979.5,2112.5,1960.53,441768
ANANDRATHI,2024-05-03,1999.45,1998.7,2016.5,1958.5,168406
ANANDRATHI,2024-05-10,2012.5,1977.45,2044.0,1945.15,239228
ANANDRATHI,2024-05-17,1998.62,1975.93,2005.57,1925.0,177794
ANANDRATHI,2024-05-24,1972.78,2034.75,2068.0,1944.97,267596
ANANDRATHI,2024-05-31,2045.03,2097.7,2149.98,2017.55,847344
ANANDRATHI,2024-06-07,2145.0,1953.38,2149.98,1770.65,467080
ANANDRATHI,2024-06-14,1964.97,1997.82,2000.0,1905.0,286272
ANANDRATHI,2024-06-21,2014.8,1968.32,2045.0,1953.5,162192
ANANDRATHI,2024-06-28,1939.4,1953.93,2016.15,1915.0,372550
ANANDRATHI,2024-07-05,1958.8,2005.12,2010.0,1927.5,252162
ANANDRATHI,2024-07-12,2012.5,1997.75,2147.1,1925.57,866632
ANANDRATHI,2024-07-19,2000.55,1906.9,2018.45,1888.57,318928
ANANDRATHI,2024-07-26,1710.15,1846.5,1969.5,1710.15,532354
ANANDRATHI,2024-08-02,1847.0,1856.12,1901.85,1830.0,241102
ANANDRATHI,2024-08-09,1850.0,1812.15,1870.5,1781.5,285130
ANANDRATHI,2024-08-16,1800.0,1801.05,1867.97,1771.5,172286
ANANDRATHI,2024-08-23,1806.55,1802.68,1949.0,1790.0,559918
ANANDRATHI,2024-08-30,1802.7,1906.9,1912.25,1733.18,625208
ANANDRATHI,2024-09-06,1907.5,1959.7,2024.78,1877.1,362018
ANANDRATHI,2024-09-13,1956.0,1959.5,1975.0,1895.4,479598
ANANDRATHI,2024-09-20,1957.5,1949.75,2001.0,1890.0,250698
ANANDRATHI,2024-09-27,1952.1,1937.5,1989.05,1892.5,352314
ANANDRATHI,2024-10-04,1890.03,1955.22,1999.0,1878.0,517700
ANANDRATHI,2024-10-11,1955.22,2020.93,2142.27,1910.03,1336004
ANANDRATHI,2024-10-18,2025.97,2143.15,2187.32,2003.05,1455570
ANANDRATHI,2024-10-25,2162.5,1998.12,2191.0,1965.0,779666
ANANDRATHI,2024-11-01,1998.5,2077.05,2094.95,1927.5,549746
ANANDRATHI,2024-11-08,2053.5,1956.15,2069.95,1950.82,324464
ANANDRATHI,2024-11-15,1956.15,1942.03,2012.88,1881.38,346444
ANANDRATHI,2024-11-22,1942.5,1989.07,2040.0,1925.0,310192
ANANDRATHI,2024-11-29,2000.03,2078.02,2100.0,1980.45,346224
ANANDRATHI,2024-12-06,2077.98,2153.6,2237.48,2065.02,816350
ANANDRATHI,2024-12-13,2157.5,2134.1,2323.0,2125.0,1009954
ANANDRATHI,2024-12-20,2147.0,2031.3,2192.52,2006.0,478240
ANANDRATHI,2024-12-27,2023.75,1993.88,2024.5,1931.57,258112
ANANDRATHI,2025-01-03,2027.47,1979.75,2027.47,1955.47,272952
ANANDRATHI,2025-01-10,1997.3,2077.18,2125.0,1883.03,1838846
ANANDRATHI,2025-01-17,2049.82,1986.0,2054.5,1891.72,1219872
ANANDRATHI,2025-01-24,1953.5,1825.68,2015.25,1820.0,475786
ANANDRATHI,2025-01-31,1785.03,1831.1,1875.0,1690.65,922438
ANANDRATHI,2025-02-07,1831.4,1849.15,1914.65,1792.5,723654
ANANDRATHI,2025-02-14,1849.15,1810.2,1882.55,1772.5,814906
ANANDRATHI,2025-02-21,1824.97,2003.18,2032.95,1756.32,2152086
ANANDRATHI,2025-02-28,2003.18,2000.53,2085.32,1962.5,4219804
ANANDRATHI,2025-03-07,2010.0,1865.0,2125.45,1813.0,3057962
ANANDRATHI,2025-03-14,1857.95,1693.25,1872.65,1594.0,1791854
ANANDRATHI,2025-03-21,1685.0,1774.75,1791.9,1644.95,1045083
ANANDRATHI,2025-03-28,1774.75,1912.2,1952.95,1757.7,830357
ANANDRATHI,2025-04-04,1895.0,1792.85,1902.85,1772.4,313802
ANANDRATHI,2025-04-11,1660.0,1800.4,1837.65,1600.0,600144
ANANDRATHI,2025-04-18,1827.3,1733.9,1827.4,1710.1,331549
ANANDRATHI,2025-04-25,1743.9,1759.4,1798.9,1710.0,405541
ANANDRATHI,2025-05-02,1736.3,1720.0,1760.0,1655.8,389334
ANANDRATHI,2025-05-09,1720.0,1703.8,1756.3,1641.0,390570
ANANDRATHI,2025-05-16,1707.0,1816.3,1822.0,1699.0,300004
ANANDRATHI,2025-05-23,1818.0,1883.3,1892.0,1810.0,453317
ANANDRATHI,2025-05-30,1897.0,1876.5,1973.9,1859.8,533790
ANANDRATHI,2025-06-06,1895.3,1978.2,2004.0,1895.3,766914
ANANDRATHI,2025-06-13,1987.8,2013.1,2075.9,1966.7,500355
ANANDRATHI,2025-06-20,2023.6,2066.6,2153.0,2012.1,1404585
ANANDRATHI,2025-06-27,2050.0,2076.2,2139.6,2020.0,890049
ANANDRATHI,2025-07-04,2076.2,2108.3,2185.0,2034.1,777789
ANANDRATHI,2025-07-11,2102.0,2211.7,2250.0,2062.9,1969028
ANANDRATHI,2025-07-18,2229.0,2621.2,2690.0,2216.3,7029207
