Symbol,Folio,IC,CC,PnL,DD_High,LT_days,LT_Pert,4H_MACD,D_MACD,W_MACD,M_MACD,W_RSI,M_RSI,AvgPrice,StopLoss,CurPrice,Sector,MarketCap,Notes,Qty,LT_Date,LT_Price,Day_RSI
MON100,Core_Low,4.1,4.9,27.5,-9.38,7,-0.2,7,2,-3,6,61.0,72.0,184.0,,234.53,NASDAQ ETF,Index,,600,2025-12-19,235,52.18
CUB,Core,3.0,4.1,44.8,-1.31,7,5.4,18,3,10,25,81.0,69.0,203.0,,294.0,Financials - Private Bank,Small Cap,,400,2025-12-19,279,68.44
POLYCAB,Core_Low,2.8,2.9,8.9,-4.0,4,0.2,9,5,-6,3,61.0,67.0,6966.0,,7587.0,Power - Wiring,Mid Cap,,11,2025-12-22,7573,56.56
PRIVISCL,Core,3.3,3.8,23.5,-4.36,4,3.3,7,3,10,21,70.0,72.0,2665.0,,3290.6,Chemicals - Specialty,Small Cap,,33,2025-12-22,3186,60.72
TVSMOTOR,Core_Low,3.3,3.5,14.0,-2.5,4,-1.9,-1,-1,-7,7,66.0,77.0,3195.0,3341.0,3641.5,Auto - 2W,Large Cap,,28,2025-12-22,3712,54.59
CHOLAFIN,Core,3.0,3.0,4.2,-4.42,22,-1.8,3,-7,13,3,57.0,64.0,1634.0,,1703.2,Financials - MFI,Large Cap,,50,2025-12-04,1735,51.94
HEROMOTOCO,Sate_Low,2.9,2.9,7.5,-11.49,39,-2.5,-27,-13,-1,4,57.0,63.0,5260.0,5465.0,5654.5,Auto - 2W,Large Cap,,15,2025-11-17,5800,36.41
BAJAJ-AUTO,Core_Low,1.7,1.6,2.1,-28.62,3,-0.2,7,3,36,-12,58.0,61.0,8931.0,,9117.5,Auto - 2W,Large Cap,,5,2025-12-23,9136,55.31
BAJFINANCE,Core_Low,2.7,2.6,3.3,-8.94,2,-3.1,7,2,-4,12,54.0,59.0,972.0,,1003.9,Financials - NBFC,Large Cap,,74,2025-12-24,1036,45.22
M&M,Core_Low,1.5,1.4,2.1,-4.47,70,0.1,6,-24,-2,7,57.0,74.0,3550.0,3500.0,3625.5,Auto - PV/Trucks,Large Cap,,11,2025-10-17,3621,47.95
SRF,Core,1.3,1.3,6.1,-5.68,80,6.1,24,20,2,12,59.0,59.0,2957.0,,3136.2,Chemicals - Specialty,Large Cap,,12,2025-10-07,2957,69.79
TATACONSUM,Core,0.4,0.4,-0.3,-7.14,80,-0.3,19,7,15,2,60.0,58.0,1182.0,,1178.4,,,,10,2025-10-07,1182,55.47
